Feature,Frequency
GPR19,1
GPRC5A,1
GSTM3,1
LAPTM4B,1
LCE1D,1
LEMD2,1
POTEI,1
PKP2,1
PCNXL3,1
HAPLN1,1
CEP250,1
CRBN,1
CYP11B1,1
FAHD1,1
FGF6,1
GOLGA7B,1
H1F0,1
HDHD2,1
MAEL,1
IL32,1
IL7R,1
IRG1,1
JMJD7,1
KCNA3,1
KCNT1,1
LRG1,1
LMNB2,1
NPDC1,1
AP4B1,1
NQO2,1
HECTD2,1
HNF1A,1
KRT31,1
LHFPL4,1
NUDCD2,1
OAS3,1
OSGIN1,1
P2RX6,1
PADI2,1
PRSS16,1
PTCH1,1
RAPH1,1
RRBP1,1
TARS2,1
ZNF581,1
AC111200.1,1
AL626787.1,1
GRIN3A,1
GREM1,1
ELANE,1
TXNRD3,1
PCDHA8,1
PCDHGA12,1
PLK1,1
PSMD11,1
RPS20,1
SCN3B,1
TNFSF13B,1
VRTN,1
DUSP9,1
ABL2,1
ADPGK,1
AKAP12,1
ALS2CL,1
C4orf3,1
DEFB135,1
DNAJA4,1
SPECC1,1
RP11-542P2.1,1
RP11-1167A19.2,1
MACROD1,1
SSBP4,1
TBC1D31,1
UGT1A8,1
USF1,1
ZNF407,1
AC119673.1,1
ACYP1,1
AL357673.1,1
BCKDHB,1
BRMS1L,1
CD93,1
EI24,1
ERH,1
FAM188B2,1
IFIT2,1
INPP5J,1
ISG20,1
SNX17,1
RWDD2A,1
RP11-152F13.10,1
GALNTL5,1
ANKRD44,1
CD3D,1
CTC-479C5.12,1
CTU1,1
ESPNL,1
FAM212B,1
FAM220A,1
GUCA2A,1
OR2H1,1
HRASLS2,1
IHH,1
INMT-FAM188B,1
KRTAP1-5,1
LYG2,1
MBOAT7,1
MCTP1,1
LDB1,1
MYBPHL,1
ABCA6,1
NQO1,1
IL1RAPL2,1
LRIG1,1
MYH3,1
ODF3L1,1
PAX2,1
PGLS,1
POU3F2,1
PTGS2,1
PTPN5,1
RNF19B,1
SRPK2,1
TMEM170B,1
ZKSCAN5,1
ZNF330,1
ASF1B,1
DNAH2,1
DNAJC21,1
HIPK4,1
FCGR3B,1
FAM84A,1
ZMYM6,1
PDGFA,1
PNPLA1,1
PPAPDC1B,1
SIN3A,1
SMIM21,1
TFDP1,1
TMEM14A,1
ABHD5,1
DKK4,1
ANKLE1,1
BMX,1
CAB39,1
CCNG2,1
COTL1,1
CREBZF,1
DHX33,1
AC002472.13,1
ZNF442,1
FAM73A,1
GABRD,1
TNNC1,1
UNKL,1
UROC1,1
ZNF391,1
ZSCAN12,1
ADCY10,1
ADRBK2,1
BIVM,1
BMPR2,1
C9orf69,1
CACUL1,1
CLDN17,1
COQ7,1
CRIPAK,1
CUL1,1
DCLRE1B,1
DHRS4-AS1,1
TMEM173,1
TBK1,1
SSR4,1
FBXL5,1
CASC10,1
CRYGD,1
CTD-2192J16.24,1
DDT,1
DEFA1B,1
EFCAB8,1
EIF3M,1
KLF5,1
SLC15A5,1
LCN10,1
LYZL2,1
MBOAT2,1
NDST3,1
PELP1,1
PLGLB1,1
PPP1R9A,1
FAM177B,1
GMNC,1
TXNRD2,1
GTPBP6,1
CLK4,1
CLTB,1
DGKD,1
LEPRE1,1
MCTP2,1
OR14C36,1
POTEM,1
PPM1K,1
S100A12,1
S100G,1
SLC27A6,1
STAM,1
SUN1,1
TBX15,1
TCF12,1
TEX26,1
TP53I11,1
CASS4,1
C21orf58,1
C19orf71,1
QKI,1
MRPS14,1
NOP9,1
NSMF,1
NTNG1,1
OR52E6,1
PNPLA3,1
PPP1R37,1
RP11-77K12.1,1
ANKRD50,1
SIRPA,1
SOGA1,1
STX16,1
TMPRSS11BNL,1
UBE2Z,1
ADAMTS12,1
ALOX5,1
ETV4,1
FAM8A1,1
RBM25,1
AC003005.4,1
CLGN,1
CSF1R,1
CSMD2,1
HERC2,1
HSD17B12,1
LAMA3,1
LSAMP,1
MINK1,1
OXGR1,1
P4HA3,1
PTGDR2,1
RP11-210M15.2,1
SLAMF9,1
SLC34A2,1
SPTBN1,1
TAS2R38,1
TTC30B,1
CCDC83,1
CCDC169-SOHLH2,1
CAV2,1
TMEM25,1
SAA1,1
SAR1B,1
SDF2,1
SOX21,1
SPACA4,1
SPHAR,1
TCTN3,1
TMEM67,1
C2orf73,1
TRIM74,1
XG,1
ZNF585A,1
ANXA8L2,1
AP000350.4,1
ATP11B,1
C20orf78,1
AADACL3,1
AL162431.1,1
RP1-127H14.3,1
CHMP4C,1
BLOC1S5-TXNDC5,1
CCBL2,1
DECR1,1
ETV3,1
FAM98B,1
IMPA1,1
KCNJ5,1
KRT9,1
LCMT1,1
MADD,1
MPST,1
MYO15A,1
NUP155,1
PCDHGA11,1
PCOLCE,1
PDPR,1
PLK3,1
ASGR1,1
ANXA6,1
ZNF672,1
IQCK,1
COL9A2,1
DERA,1
DSCR8,1
EPM2A,1
GNL2,1
HNRNPUL2,1
IGDCC4,1
KIAA0141,1
TACSTD2,1
LRRK2,1
MAP2K2,1
PLA2G12B,1
PLEKHH1,1
RPS6KA5,1
SEMA5B,1
SLC24A1,1
RPL36,1
PTCHD1,1
FOLR1,1
RASSF8,1
CHIC2,1
CLN6,1
IL11,1
KCNV2,1
KIAA0513,1
KLHL13,1
LEPROTL1,1
LRRC8A,1
MANEAL,1
MCM4,1
MYOC,1
NFS1,1
PABPC4,1
PCDHB17,1
PCYOX1,1
PKD2L2,1
POLE4,1
CDKL2,1
ACTRT2,1
ZNRF4,1
PPP1R16B,1
IQSEC2,1
KBTBD4,1
KCNT2,1
OR1J2,1
OR52M1,1
PIK3CB,1
PLGLB2,1
SNAP91,1
ZNF256,1
SRPK1,1
ST6GALNAC1,1
TFF3,1
TXLNG,1
UTP11L,1
XXYLT1,1
ZDHHC4,1
PPWD1,1
SP7,1
PFN1,1
TF,1
SCG5,1
SESN1,1
SF3B4,1
SLC51A,1
TADA2A,1
TMEM38B,1
VPS37C,1
ACSL1,1
AP001024.2,1
C3orf52,1
CBX1,1
CX3CR1,1
CYP2C8,1
EIF5A,1
ITLN1,1
MRPS36,1
NRROS,1
RUFY4,1
PROL1,1
MS4A4A,1
C17orf99,1
TGIF2-C20orf24,1
TRIM66,1
ABCA3,1
ACADSB,1
AHCTF1,1
BZW2,1
C15orf32,1
C3orf14,1
LYRM7,1
DCLK2,1
GDE1,1
ING1,1
KIAA0408,1
KLF8,1
KRT222,1
LAP3,1
GLB1L2,1
ICAM5,1
MEIG1,1
TMEM31,1
EIF4E,1
FAM229A,1
GEMIN8,1
GLYCTK,1
GRPR,1
GSC2,1
HABP4,1
HBEGF,1
HHEX,1
HLA-C,1
KEL,1
LARS2,1
LTA4H,1
LYZL6,1
MRO,1
RAB35,1
RP11-169F17.1,1
EIF3K,1
CLEC2A,1
C9orf152,1
SIK1,1
MSC,1
PPAP2B,1
PRKCB,1
PRMT8,1
RAB24,1
REEP5,1
RHOU,1
SPHK1,1
B4GALT5,1
TAOK2,1
TRIM5,1
ZFAND6,1
ZNF133,1
ZNF530,1
ZNF589,1
AC068039.1,1
RPRD2,1
UBASH3B,1
METTL20,1
XAGE3,1
RPS6KB2,1
SPDYE4,1
WARS2,1
WISP2,1
ZFPL1,1
ZNF829,1
AC012313.1,1
AMY1C,1
APOC4,1
BHMT,1
BTNL3,1
C11orf82,1
C7orf65,1
C9orf116,1
CENPW,1
GJB6,1
GTF2A2,1
RP11-219B4.6,1
RABEP2,1
POLR3D,1
JAGN1,1
AC002472.1,1
AK7,1
APOO,1
C10orf99,1
C3,1
ECI2,1
GLYATL3,1
KIAA0586,1
PLA2G15,1
LRRC25,1
LRRC53,1
LY6G5B,1
ODF4,1
ORAI2,1
PABPN1L,1
PHACTR3,1
MIPOL1,1
KDM6A,1
IFI16,1
TC2N,1
CCDC167,1
DDX11,1
FLOT1,1
FNDC1,1
GAPDH,1
GP1BA,1
HMGN5,1
HSCB,1
INO80D,1
JPH2,1
LHX1,1
LSMEM2,1
ORM1,1
OSR2,1
POLR2G,1
PPIAL4A,1
PRY,1
C6orf47,1
C4orf32,1
ARSB,1
PGAM2,1
KRTAP3-3,1
LUZP2,1
NOL8,1
NPFFR1,1
NPS,1
OR2L2,1
OR56A4,1
PHF10,1
ANKRD33,1
PLAGL1,1
POLA1,1
PRL,1
PRSS21,1
SLC25A43,1
SMPD1,1
STRC,1
SLC39A6,1
TICAM1,1
GNG11,1
TMEM246,1
PLA2G6,1
POLR2C,1
PPP3R2,1
RAET1E,1
SAMD4A,1
SNX7,1
TCEB3CL,1
WDR34,1
ZNF229,1
ZNF416,1
AC003102.1,1
AKR7A3,1
ANKRD7,1
BAG4,1
C5orf60,1
DHCR7,1
FAM71E1,1
ODF1,1
MLH3,1
LIN28B,1
CTAGE4,1
TSPAN3,1
VGLL3,1
AIDA,1
AL162424.1,1
C3orf72,1
C9orf41,1
COX4I1,1
CXADR,1
LETM1,1
DOCK4,1
FRMPD3,1
GPLD1,1
GPR137B,1
INPP4B,1
KRTAP9-2,1
LCT,1
HESX1,1
KAT2A,1
GMPPA,1
ATP1B4,1
PER1,1
PRDM15,1
PRPF18,1
RFTN1,1
RMND1,1
SERINC2,1
SHROOM1,1
SLAMF6,1
SMCHD1,1
SMG7,1
SOX1,1
STRADB,1
TFG,1
TRAM1,1
TRIM4,1
UBBP4,1
UHRF2,1
MAGEA4,1
KCNIP3,1
IFT27,1
THOC3,1
MXD3,1
NRARP,1
PALM3,1
PEX3,1
RP11-676J12.7,1
SERAC1,1
SSH1,1
ZNF517,1
HDAC7,1
ACTN1,1
AHSA2,1
CACNA1E,1
CABLES1,1
CALML4,1
COPZ1,1
DLGAP4,1
ATL2,1
B3GALNT2,1
MARK4,1
BCAR3,1
SLC7A11,1
SRCIN1,1
TSPAN11,1
TTC6,1
ZCCHC16,1
AKR1C2,1
ANKS4B,1
EBPL,1
FAM69B,1
GPR85,1
H1FOO,1
LSM10,1
MAG,1
MTMR10,1
NPTX2,1
OR10H5,1
PRR20A,1
SCGB1D4,1
RNF150,1
RAD52,1
FAM110D,1
BCL2L10,1
C19orf35,1
CCDC79,1
CDRT15,1
CEND1,1
CRYGA,1
CSF2RA,1
GLIS1,1
RAB3A,1
HIST1H2AB,1
HSPA14,1
METTL14,1
MGC4771,1
NKAIN4,1
PIK3R3,1
PSENEN,1
MS4A10,1
LTBP3,1
KCNB2,1
AC022498.1,1
FSCN3,1
HNRNPH3,1
ITGB6,1
KIAA0368,1
LRRC43,1
LY6K,1
MAP7D1,1
MARCH3,1
MRPS34,1
NKRF,1
OR10S1,1
OR5D18,1
PIN4,1
PLEKHG6,1
TPH2,1
TRIM14,1
ZDHHC21,1
EIF3J,1
CNOT3,1
CDKN1C,1
TFPI,1
KLHL12,1
OXNAD1,1
PRPF38B,1
RBCK1,1
RFXAP,1
STX7,1
TESK2,1
TMPRSS6,1
ARHGAP22,1
TRAPPC4,1
VARS,1
VCAM1,1
AC008948.1,1
ACSS2,1
AMICA1,1
APBA1,1
ABRACL,1
BTG4,1
INPP5D,1
C7orf69,1
TPTE2,1
AC008372.1,1
AHDC1,1
AMBN,1
ANKRD45,1
ATXN7L2,1
C11orf83,1
C9orf3,1
CBWD1,1
CPLX4,1
DYNC1I1,1
EFCAB9,1
FAM131C,1
FAM153A,1
HNRNPUL1,1
IFNGR2,1
ILDR2,1
TFB1M,1
TBX21,1
TBC1D23,1
KRTAP19-2,1
CD247,1
CLDN14,1
CLEC4D,1
CSNK1D,1
CTB-50L17.14,1
FAF2,1
KANSL1,1
KRTAP8-1,1
SLC27A5,1
MACF1,1
MLX,1
NBPF3,1
NOVA2,1
OR56B3P,1
RFX7,1
SCNM1,1
GPR157,1
FXYD6-FXYD2,1
MOB1B,1
C6orf99,1
MYO9B,1
OTOS,1
PCNXL2,1
PDE9A,1
PGM2,1
PRIMPOL,1
REP15,1
SIGLEC14,1
SLC12A8,1
ST6GAL2,1
TGFBR3,1
TRIB3,1
TXNL4B,1
ZNF688,1
AC006967.1,1
ALG11,1
ARL16,1
MADCAM1,1
MAB21L1,1
KRTAP1-4,1
BEND5,1
SLC52A3,1
SYNJ2,1
TROAP,1
UEVLD,1
URM1,1
ZBED4,1
AKAP1,1
C17orf67,1
IFNB1,1
CD164,1
CEP128,1
DGCR2,1
DNAJC27,1
DSE,1
EIF3B,1
HHIPL1,1
ASAH2C,1
CSNK1G2,1
PPP4R1,1
CTD-2162K18.4,1
ANKRD24,1
C15orf52,1
C6orf222,1
CCDC113,1
CD300LD,1
DDA1,1
EMID1,1
EPAS1,1
EVC,1
FAM111A,1
FPGT,1
GGTLC1,1
GLUD1,1
HCN2,1
HTR1E,1
ISM1,1
MMP7,1
AGPAT3,1
ZNF678,1
USP9X,1
MUCL1,1
CTSG,1
FBXO17,1
HIST1H2BK,1
IGFBP3,1
ITPRIP,1
MAP1LC3A,1
MTX2,1
OLA1,1
TUBGCP3,1
OR52I2,1
OR6C4,1
PDIA5,1
RP11-321F6.1,1
RTTN,1
STPG1,1
TRIM10,1
RP11-1055B8.6,1
PADI1,1
PLXNC1,1
CRTAC1,1
GPX6,1
H6PD,1
KCTD21,1
LAIR2,1
LILRA3,1
MAGEB2,1
PEPD,1
PHF11,1
PLA2G3,1
PTHLH,1
SCN9A,1
SLC23A1,1
SLC35B3,1
TERF2IP,1
ZNF302,1
AC027307.3,1
CASR,1
EDF1,1
DAB2,1
COMMD3-BMI1,1
SPRYD4,1
MS4A7,1
OR51V1,1
PGRMC2,1
PRPH2,1
PSTPIP2,1
RNF123,1
SCAF8,1
TPH1,1
COA1,1
TTPAL,1
ZDHHC22,1
ARHGAP5,1
ASCC1,1
BAIAP3,1
CAMK2N2,1
CDAN1,1
CEP97,1
DAO,1
NXF5,1
DDIT4L,1
WFDC12,1
AC062017.1,1
C16orf58,1
C1orf145,1
COL4A3,1
CRLF2,1
DGAT2,1
FRAT1,1
FUOM,1
GCFC2,1
HABP2,1
LAMB1,1
MANBA,1
MED28,1
MGAT4B,1
NDUFA6,1
NOTCH3,1
VAX1,1
USP11,1
TMUB2,1
OPN1LW,1
EGFL7,1
GTF2I,1
IL3,1
LAMC3,1
LEP,1
LMOD2,1
MAGEA2,1
OR7G2,1
SSBP2,1
PAQR8,1
PODXL,1
POLR2J3,1
PPP1R2,1
RNF139,1
SGCZ,1
SMTN,1
OR52N1,1
SMIM11,1
DLX5,1
RAPGEF3,1
CAMTA2,1
CD180,1
COPG2,1
DHX8,1
DRD5,1
DYSF,1
ERCC2,1
FBXW11,1
FMO1,1
GMCL1,1
IBSP,1
LPAR4,1
LPCAT3,1
MFSD4,1
NEU2,1
OR1Q1,1
OR5T3,1
ZNF263,1
WDR31,1
VEGFB,1
MOSPD2,1
CYP2C19,1
DIO3,1
FAXC,1
GABRG3,1
JUN,1
KIAA1217,1
MMP17,1
NOP56,1
TYK2,1
OR8J3,1
PIK3IP1,1
RAB40C,1
RNF122,1
SMARCB1,1
TBCK,1
TPD52L1,1
PFN3,1
REG3A,1
C9,1
RGS2,1
PHTF1,1
PRKG2,1
PRR25,1
SEMA3D,1
TCEB1,1
XIRP2,1
ZNF614,1
AC007216.2,1
AC099344.1,1
ACOX3,1
AL135998.1,1
BPIFA1,1
C16orf80,1
CACNG1,1
CCDC93,1
CLLU1,1
CTD-2370N5.3,1
PCDHGC3,1
NEUROD6,1
ITM2C,1
ATP10B,1
RP11-114H20.1,1
RP11-187E13.1,1
TNFRSF17,1
TSPAN8,1
AC009365.3,1
AL031666.2,1
ALOX12,1
BAX,1
IDH3B,1
CARD16,1
CCNH,1
CLNK,1
FAM189B,1
FBXL8,1
FSBP,1
HIGD1C,1
CTC-260F20.3,1
AL590483.1,1
SPG20,1
EDEM1,1
RFX2,1
RP11-571M6.15,1
SMIM14,1
SRD5A1,1
STK17A,1
TMEM213,1
TMEM223,1
ZBTB14,1
ZNF174,1
AC013469.1,1
ASPHD1,1
C4orf17,1
CASP4,1
CLDN16,1
CPM,1
CSRNP3,1
DCLK1,1
RASSF2,1
PAPLN,1
OR5P3,1
CHRFAM7A,1
SSC5D,1
TMPRSS7,1
UBL4A,1
WDR81,1
AC003006.7,1
AC007965.1,1
C11orf48,1
DSCR4,1
OR13H1,1
ELMOD1,1
EME1,1
ESCO2,1
FAM109B,1
GTF2F2,1
LARGE,1
M6PR,1
DZANK1,1
FAM117A,1
ADAMTS4,1
IRF7,1
NIT2,1
OR5K4,1
OSBPL6,1
PRDM13,1
PSMD4,1
RP11-268J15.5,1
RP11-332O19.5,1
RP1L1,1
SCUBE2,1
SEC14L3,1
SENP3,1
SFMBT2,1
SFR1,1
SLC35D1,1
SSMEM1,1
ZNF445,1
ACTL7A,1
MYH4,1
IL17C,1
HSD17B1,1
NXPE1,1
KIAA0922,1
LMO7,1
MCM10,1
MIS12,1
MRPL13,1
NDUFB6,1
NPVF,1
OGG1,1
GZMH,1
PCDHGA1,1
RBBP8,1
STAB2,1
C1QTNF8,1
CTSA,1
EIF1,1
FKSG61,1
ZNF536,1
