Feature,Frequency
AL355490.1,1
NXPH1,1
OR11H4,1
OR2H2,1
PRR15L,1
PWWP2A,1
ZNF681,1
RBM3,1
SLC28A2,1
SPINK8,1
TGFB2,1
TTC34,1
GUSB,1
CHMP3,1
VPS18,1
NPIPB3,1
NSUN5,1
PRDM9,1
RALYL,1
SYNPO,1
STARD13,1
SHC3,1
SIRT6,1
SPSB1,1
SRSF12,1
TARS,1
TMEM68,1
ZNF292,1
ZNF720,1
ZNF786,1
RHCE,1
TAC4,1
MIER2,1
ATP8B3,1
MIA3,1
ADAMTSL3,1
AL031320.1,1
ZNF668,1
AMIGO3,1
ARFGAP1,1
CDH26,1
FRAT2,1
CC2D2B,1
ZNF543,1
ZBTB32,1
GARNL3,1
KRT19,1
LMBRD2,1
MAP3K13,1
UBE2U,1
AOC1,1
RGL2,1
CASP10,1
RABGAP1,1
REXO1L10P,1
SAYSD1,1
INTS6,1
SLC25A25,1
IL1RN,1
TAF6,1
TNRC6C,1
VOPP1,1
ZC3H4,1
AARD,1
AARS,1
C3orf79,1
CARKD,1
CASKIN1,1
IFI30,1
REV3L,1
RAB43,1
OR7G3,1
PROKR1,1
CT47A2,1
DDN,1
ETAA1,1
HLA-DPA1,1
NR2F2,1
HSPA4,1
IDNK,1
IPO8,1
MAMLD1,1
KIAA1432,1
MARCH6,1
OR52B6,1
PNLDC1,1
KRTAP9-1,1
KIAA0247,1
C11orf70,1
RC3H1,1
TMA7,1
AC139100.2,1
APOB,1
ASNSD1,1
LINGO2,1
ATP5S,1
KLHL6,1
C20orf26,1
CCDC138,1
KIAA0319,1
CCT8L2,1
CD52,1
CTDP1,1
ELOVL1,1
FAM106A,1
FAM43A,1
GGCX,1
ALDH4A1,1
MLANA,1
MGA,1
AC012493.2,1
MAP3K4,1
NIF3L1,1
OR10G9,1
PCDHB13,1
RP11-111M22.2,1
RAB4B-EGLN2,1
PDGFRA,1
RPS2,1
STOML2,1
TKTL2,1
UACA,1
WDR6,1
ZNF572,1
NYAP2,1
ABCG5,1
METTL22,1
OR5P2,1
LIG4,1
MORN5,1
NPIPA1,1
OR12D3,1
OR51B6,1
PYGM,1
TLL1,1
TMED10,1
TMEM18,1
TMPRSS11F,1
TRAF3IP2,1
VASH2,1
WDR4,1
AL603965.1,1
ALG13,1
FPGT-TNNI3K,1
ARGLU1,1
GINS4,1
LRRC8C,1
IQCF3,1
KAZN,1
RNF207,1
SPAG8,1
ZNF621,1
AL589739.1,1
ARHGDIG,1
C15orf38-AP3S2,1
CCDC129,1
CDKN2D,1
CNOT8,1
DNAJC5G,1
EGR3,1
FGG,1
GET4,1
GLTSCR2,1
HPGD,1
RP11-1407O15.2,1
KIAA2018,1
FAM90A1,1
EPC2,1
ZNRF3,1
ZYG11A,1
AL136115.1,1
AL138815.2,1
AL645608.2,1
AMTN,1
ASCC3,1
ASTN2,1
BTC,1
C1orf213,1
CRYAA,1
C7orf71,1
DDX27,1
CD163,1
DIRAS2,1
ZDHHC6,1
WSCD1,1
GSTO2,1
TMPRSS11A,1
METTL13,1
NDUFAF7,1
OR10C1,1
PDE4A,1
FLG,1
PRIM2,1
R3HDML,1
RANBP17,1
SEPW1,1
SFTPB,1
SIAE,1
SPATA21,1
SPATA25,1
STARD6,1
SUV420H1,1
F8A2,1
CCSER2,1
