,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
61,0.16,0.02,0.0,0.02,0.01,0.02,0.0,0.0,0.03,0.0,0.01,0.09
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.18,0.08,0.33
63,0.41,4.14,86.08,39.73,0.09,0.87,3.15,29.06,55.27,33.27,149.5,0.02
64,16.08,10.8,12.34,6.04,7.01,7.35,9.08,10.26,16.27,12.22,16.38,6.46
65,0.05,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0
67,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.02,0.12
69,0.03,0.07,0.79,0.08,0.0,5.24,0.31,0.12,0.13,0.08,1.17,0.0
70,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0
71,23.17,8.61,12.69,11.45,14.91,18.89,3.12,19.4,19.87,3.7,27.81,12.86
72,11.02,32.28,14.05,12.52,12.56,6.73,15.09,38.07,23.59,14.14,11.94,18.65
73,20.13,21.83,25.06,24.67,15.29,55.7,40.11,13.88,20.29,14.7,28.01,17.88
74,6.42,2.21,7.64,2.8,7.17,19.5,7.87,5.1,6.61,0.86,4.65,2.63
75,29.89,18.07,15.46,20.81,10.79,17.5,46.45,25.02,39.13,18.11,10.55,14.65
76,12.92,11.3,10.45,11.54,13.34,10.97,12.83,18.97,21.92,10.83,11.13,13.16
77,0.01,0.2,0.04,0.07,0.07,0.07,0.06,0.17,0.4,0.19,0.07,0.19
78,0.0,0.18,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.0,0.0
79,0.0,0.0,1.0,0.06,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.0
80,0.48,8.84,11.57,10.61,0.63,0.29,0.5,36.22,0.47,6.16,0.15,4.13
81,49.86,10.88,39.61,100.1,0.1,2.47,36.34,86.09,75.04,44.91,72.05,39.48
82,12.01,11.56,6.75,7.12,6.21,23.51,4.48,7.78,9.94,4.3,14.03,7.92
83,34.96,14.21,13.03,15.38,18.04,7.69,22.52,13.31,22.26,5.28,12.96,18.84
84,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.04,0.0,0.0,0.11,0.0
85,1.93,1.27,3.53,12.2,0.8,0.26,4.63,5.27,5.73,16.19,9.71,0.46
86,0.0,0.36,1.76,3.55,0.09,0.0,1.55,3.41,3.08,5.64,6.47,0.04
87,0.0,0.59,0.74,0.53,0.01,0.18,1.09,0.97,4.92,4.49,1.84,0.0
88,0.0,0.35,0.23,0.39,0.0,0.0,0.28,0.13,0.09,0.03,0.4,0.0
89,0.08,0.06,0.05,0.65,0.0,3.92,0.69,0.59,5.17,0.07,0.01,0.03
90,0.96,20.83,0.58,3.45,7.55,4.11,9.31,3.29,37.24,2.14,2.24,0.51
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
96,22.06,41.66,40.42,17.6,19.81,14.45,19.31,37.37,27.53,51.38,34.09,28.54
97,37.15,40.29,20.57,20.71,50.59,14.39,20.6,20.49,53.78,11.03,17.65,35.84
98,100.3,60.99,42.67,33.56,50.72,29.74,36.25,36.51,76.41,36.6,42.13,57.48
99,29.68,89.29,35.12,21.82,27.77,61.73,63.91,64.71,74.65,25.58,49.17,15.5
100,133.16,62.85,39.88,29.99,60.93,97.44,81.92,25.14,47.62,27.58,28.32,26.04
101,0.03,0.03,0.0,0.03,0.04,0.07,0.11,0.02,0.1,0.01,0.01,0.03
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,45.76,28.47,39.72,43.0,39.55,35.19,50.8,54.61,49.36,25.54,32.26,38.28
104,0.6,1.1,0.46,1.57,0.01,0.05,5.25,0.08,1.47,2.47,0.35,0.02
105,2.98,0.1,3.01,4.58,0.4,2.06,0.08,0.28,15.41,0.11,10.16,14.23
106,0.61,0.02,0.0,0.0,0.59,0.25,0.02,0.0,0.11,0.01,0.01,0.01
107,0.0,0.03,0.0,0.05,0.03,0.0,0.04,0.01,0.0,0.0,0.02,0.04
108,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.02,0.0
109,0.39,2.28,0.72,0.0,0.15,0.02,0.69,0.24,3.39,0.62,0.45,0.28
110,34.75,24.42,25.22,16.79,27.3,21.53,23.59,20.59,30.49,19.03,29.82,30.76
111,26.9,30.93,66.67,66.22,23.47,41.16,129.74,109.76,80.37,68.3,115.06,51.14
112,52.47,30.43,50.26,23.37,36.92,186.79,87.4,56.1,30.19,38.95,91.81,36.65
113,0.53,75.57,0.73,25.65,0.11,0.06,1.87,0.11,0.04,0.25,0.26,38.77
