,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
A1BG,0.1,6.3,0.49,19.4,27.2,22.05,41.83,9.78,14.7,5.78,12.45,20.73,8.12,1.39,6.63,16.1,59.89,4.83,19.65,0.73,3.05,22.09,4.4,118.93,36.6,34.93,38.82,0.58,15.78,15.3
A1CF,4.94,0.01,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.0,0.01,0.04,0.0,0.18,0.01,0.01,0.0,0.06,0.01,0.01,0.03
A2M,0.19,0.53,1175.5,0.11,1.69,0.08,0.2,0.91,1.02,0.03,0.08,0.23,11.53,11.22,0.15,0.19,0.15,1.43,0.09,0.01,0.06,0.12,0.0,0.03,0.09,0.02,0.24,0.15,1059.0,0.27
A2ML1,0.03,5.85,0.01,0.0,0.02,0.0,0.0,0.03,0.35,0.18,0.01,0.0,0.01,0.01,0.1,0.05,0.11,4.51,3.11,28.62,0.17,0.09,6.05,1.98,0.1,0.14,2.21,0.15,0.41,1.37
A3GALT2,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.0,0.39,0.0
A4GALT,3.02,15.99,13.39,1.71,26.35,34.74,14.72,9.08,0.29,14.98,0.09,4.71,13.86,0.0,0.68,25.99,3.4,0.83,5.68,0.76,0.47,6.6,17.45,8.85,0.39,3.3,60.56,0.28,4.12,4.49
A4GNT,0.01,0.28,0.09,0.04,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.27,0.18,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.01,0.04
AAAS,49.58,51.54,40.95,52.58,46.23,55.02,57.3,57.89,75.2,66.77,64.86,105.46,49.82,25.8,30.44,63.81,45.35,64.33,40.76,27.74,30.72,75.06,49.69,28.9,40.61,36.44,39.11,25.61,52.21,38.3
AACS,63.26,24.41,16.85,16.36,11.65,13.83,2.7,22.27,38.35,31.43,9.28,29.71,16.45,10.84,17.34,34.8,34.21,46.97,22.63,36.24,36.24,23.78,17.08,22.73,41.28,28.98,28.75,17.64,24.93,31.82
AADAC,0.27,8.51,0.0,4.75,0.0,0.03,0.0,0.08,0.04,0.0,0.04,0.03,0.02,0.03,0.02,0.11,0.0,0.2,0.0,0.23,0.0,0.04,0.02,6.86,0.04,0.04,0.03,0.04,0.03,0.1
AADACL2,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.01,0.11
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.03,0.0,0.02
AADAT,3.88,2.31,6.68,1.68,0.01,0.01,0.0,2.4,0.17,0.0,0.03,0.03,4.77,9.27,0.63,4.53,0.01,3.03,2.85,0.11,6.35,0.14,3.91,2.69,19.02,2.16,2.76,10.72,12.84,2.43
AAED1,4.01,5.92,19.76,5.06,4.92,0.43,0.01,10.13,4.85,0.09,3.6,2.26,7.04,5.23,0.95,2.37,4.77,2.52,6.59,6.29,2.54,1.87,3.82,2.67,4.95,1.36,5.41,1.77,5.54,4.95
AAGAB,29.76,33.11,37.13,45.84,25.89,42.51,28.61,61.75,16.35,27.59,31.11,26.67,48.03,22.85,39.51,70.66,37.84,23.66,31.68,42.31,34.15,40.88,44.56,8.32,52.12,43.15,63.64,20.91,22.57,55.05
AAK1,2.37,8.46,9.59,8.81,4.89,0.34,0.19,12.51,2.66,1.08,3.35,1.77,5.37,2.77,1.54,2.51,1.73,6.1,11.04,7.99,4.38,2.37,5.45,3.62,12.12,5.58,3.26,4.43,4.96,9.47
AAMDC,23.86,54.92,67.71,20.48,10.91,29.14,8.97,54.65,46.49,10.79,29.1,19.77,35.33,25.56,15.57,37.06,94.69,11.25,52.33,44.03,29.15,40.82,44.91,43.46,67.02,44.24,37.41,57.04,55.8,46.96
AAMP,103.54,68.52,68.5,105.12,53.92,116.87,58.99,103.45,92.72,92.24,163.28,81.69,105.07,99.34,82.35,155.81,136.01,184.14,62.99,90.65,73.79,106.1,80.33,53.81,158.6,137.4,240.44,80.5,157.49,103.76
AANAT,0.04,1.64,0.22,0.74,0.22,0.16,0.05,0.04,0.05,1.17,0.07,0.81,1.94,0.14,0.12,0.04,0.17,0.07,0.45,0.32,0.95,0.29,0.97,0.17,0.13,0.22,1.26,0.49,0.19,0.07
AAR2,21.75,21.77,30.41,17.74,16.42,21.92,16.72,22.24,23.1,18.81,26.94,27.18,25.03,26.02,16.34,20.05,34.82,42.55,26.04,20.21,19.63,31.47,50.06,20.48,36.52,50.03,17.05,18.27,44.22,18.51
AARD,0.09,0.1,0.0,0.0,0.17,0.07,0.02,0.02,0.1,0.0,0.0,0.0,36.0,491.72,0.31,24.71,146.59,6.18,14.38,29.17,544.72,1.1,35.74,0.09,101.81,0.89,10.61,1.45,295.25,2.53
AARS,189.05,101.1,121.91,92.14,162.21,82.19,91.82,251.07,211.88,141.41,125.75,152.98,156.16,76.75,39.71,208.83,104.69,47.3,175.42,240.4,83.44,162.64,84.5,86.71,91.68,118.22,151.26,88.13,67.54,167.0
AARS2,5.83,11.48,12.62,12.36,10.04,11.37,12.74,9.86,13.65,9.84,11.6,23.55,11.85,13.3,8.43,7.76,6.59,10.55,13.31,7.7,11.41,8.34,12.39,4.05,11.66,11.55,6.86,12.72,29.39,12.18
AARSD1,29.15,51.22,39.31,79.47,43.28,73.84,72.61,52.33,68.43,87.58,66.05,87.78,49.37,49.0,26.79,29.28,64.24,28.77,56.99,33.96,100.98,72.71,32.77,20.48,80.69,23.37,41.01,24.15,42.99,33.02
AASDH,4.05,5.93,4.12,4.05,3.86,4.91,6.71,6.06,7.78,3.58,6.96,8.44,4.69,4.75,2.7,2.97,13.56,5.6,6.94,1.89,9.02,6.15,12.81,4.33,5.93,10.09,3.88,4.73,4.72,7.79
AASDHPPT,20.49,18.68,24.33,26.43,19.87,36.18,27.85,28.9,43.8,61.81,39.5,44.1,17.71,23.24,20.15,11.37,24.56,22.18,24.11,18.04,13.66,27.06,15.42,16.31,24.62,13.84,20.58,28.76,22.98,22.26
AASS,4.05,6.41,6.83,12.55,9.65,0.02,0.17,18.45,0.04,0.01,0.14,15.09,0.26,0.88,0.1,0.09,0.08,0.19,0.11,0.04,0.44,0.82,0.11,7.44,1.58,0.06,0.19,9.43,1.26,0.9
AATF,25.44,45.16,59.34,118.73,55.59,93.8,72.6,80.97,69.67,102.21,105.37,114.61,53.03,41.35,15.96,35.28,24.71,35.89,65.61,38.84,58.09,47.22,33.72,20.81,56.14,22.6,41.04,36.67,60.66,76.82
AATK,0.57,0.92,13.99,0.38,0.09,0.04,0.01,0.25,1.79,0.0,0.04,0.01,4.41,2.64,0.19,0.42,0.73,0.08,1.06,0.48,0.55,0.7,0.65,1.36,2.82,0.64,0.93,1.54,1.48,0.25
ABAT,1.11,6.86,1.53,0.37,2.38,2.26,0.39,2.7,2.85,2.96,0.18,1.49,5.31,0.19,4.37,47.52,16.3,1.98,8.35,2.75,0.47,27.0,3.64,2.24,1.45,9.94,94.32,1.14,2.48,1.52
ABCA1,0.48,12.58,7.36,3.41,0.71,0.02,3.65,9.82,0.29,0.68,6.84,3.73,2.07,0.01,1.91,0.13,1.06,0.29,1.52,1.88,0.28,0.25,0.32,0.68,0.42,0.54,0.16,2.12,2.34,1.11
ABCA10,0.59,178.0,0.35,0.33,0.75,0.01,0.02,0.02,0.06,0.02,0.02,0.14,0.21,0.6,0.17,0.62,0.07,0.01,0.33,0.02,0.14,0.03,1.15,1.13,0.4,0.2,0.07,0.22,0.18,0.1
ABCA12,0.02,0.92,0.04,0.13,15.99,0.0,0.01,0.09,0.01,0.0,0.0,0.01,0.01,0.07,1.06,26.08,15.48,8.79,1.33,7.93,0.05,11.29,1.93,1.17,0.11,6.9,36.21,0.09,0.04,6.17
ABCA13,0.24,3.73,0.17,0.14,0.05,0.01,0.01,1.47,0.0,0.0,0.02,0.01,0.27,10.65,0.01,0.01,0.02,6.55,0.03,0.01,0.01,0.02,2.15,0.02,0.02,0.01,5.71,0.04,0.12,0.29
ABCA2,88.4,82.46,51.79,21.23,2.22,1.11,2.46,12.44,14.56,0.91,107.02,0.75,36.05,72.02,19.11,66.56,78.54,40.9,44.5,17.42,48.35,135.42,21.74,38.51,23.47,71.88,55.46,43.73,68.46,33.83
ABCA3,53.39,11.76,0.67,1.45,4.04,0.12,0.06,0.11,0.22,0.09,1.35,0.19,2.69,16.98,26.53,22.06,24.72,6.14,3.07,0.99,9.05,38.92,17.3,0.98,6.06,19.46,23.31,3.06,2.65,3.85
ABCA4,0.14,0.41,0.42,0.52,0.25,0.03,0.05,0.87,0.03,0.02,0.03,0.01,21.63,3.41,0.41,0.11,0.61,1.7,5.84,0.31,150.33,0.21,0.14,1.41,1.0,0.23,10.57,33.03,0.41,3.14
ABCA5,16.44,13.6,6.07,4.19,24.74,1.29,1.01,3.09,0.34,0.03,0.03,3.32,6.1,14.45,1.58,18.73,18.95,10.24,6.53,0.87,2.06,13.99,7.98,9.23,15.6,6.98,9.03,6.05,9.03,6.58
ABCA6,0.31,0.21,0.06,0.04,4.95,0.08,5.39,0.0,0.02,0.25,0.0,0.04,0.02,0.09,0.02,0.06,0.01,0.01,0.0,0.02,0.02,0.01,0.06,1.92,0.01,0.1,0.06,0.06,0.02,0.02
ABCA7,45.98,62.94,7.18,9.39,36.74,35.12,20.91,11.13,69.04,25.37,2.32,20.1,6.47,10.26,2.19,7.77,22.77,5.94,15.06,13.38,5.83,16.07,18.69,9.33,12.09,12.32,15.26,2.6,3.41,16.91
ABCA8,0.01,0.13,0.08,0.03,0.15,0.0,0.0,0.06,12.8,0.0,0.01,0.06,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.12,0.01,0.76,0.0,0.13,0.0,0.0
ABCA9,0.17,0.22,0.02,0.0,0.06,0.0,0.07,0.0,0.01,0.0,0.02,0.01,0.0,0.1,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.03,0.02,0.0,0.09,0.0,0.0
ABCB1,59.92,0.24,0.25,6.89,7.59,0.05,0.05,9.56,23.58,0.04,0.03,1.81,0.09,0.0,0.05,0.03,0.07,0.02,0.01,0.03,0.01,0.04,0.09,0.61,0.26,0.13,0.41,0.93,0.39,0.09
ABCB10,3.46,5.37,11.23,7.89,5.15,5.78,7.89,9.74,31.84,11.26,44.3,29.59,8.12,15.37,19.27,5.63,9.51,10.58,10.37,12.63,11.02,8.52,4.25,6.36,6.79,9.62,11.28,12.57,33.29,18.51
ABCB11,0.01,0.28,0.0,0.01,0.0,0.0,0.0,0.0,0.52,0.0,0.21,0.01,0.01,0.0,0.0,0.0,0.02,0.04,0.01,0.19,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.02,1.31
ABCB4,0.54,0.01,0.05,1.97,9.57,0.0,0.0,0.02,0.04,0.05,0.01,1.42,0.01,0.0,0.0,0.22,0.26,1.47,0.01,0.0,0.02,0.25,0.01,0.21,0.02,0.42,0.4,0.05,0.58,0.18
ABCB5,0.71,0.0,4.16,0.02,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.01,0.0,30.48,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.03,0.02,0.04
ABCB6,230.0,41.65,46.25,32.9,17.73,23.65,3.7,27.83,34.52,2.27,3.04,8.07,51.15,55.95,14.94,34.58,58.61,72.36,12.39,19.16,25.12,15.69,14.02,26.74,28.66,31.89,33.16,18.76,40.94,15.11
ABCB7,17.19,19.27,22.03,10.91,25.52,22.25,24.2,14.64,28.35,28.77,20.76,31.94,10.06,11.97,14.88,10.3,15.46,37.23,14.0,17.71,10.52,8.21,21.41,8.52,13.48,8.62,17.85,30.77,13.48,20.81
ABCB8,33.74,23.67,31.55,28.85,21.37,31.39,24.44,32.96,15.25,23.19,23.87,17.52,58.25,68.43,32.69,30.71,34.69,56.66,18.7,34.6,9.15,18.15,16.86,4.72,11.42,13.8,18.14,11.2,65.52,27.35
ABCB9,5.87,15.23,10.07,9.98,0.38,2.12,0.56,5.85,5.28,0.3,0.86,1.71,11.09,11.34,10.62,13.88,11.04,13.05,7.61,9.23,15.19,9.17,15.5,5.77,11.82,18.7,29.7,6.45,14.64,13.96
ABCC1,33.91,25.12,35.72,34.62,24.73,16.82,32.02,38.33,42.35,16.27,18.68,15.08,61.72,16.5,12.2,14.75,16.64,38.58,19.95,24.11,7.77,12.48,60.56,11.77,18.46,9.27,14.95,86.29,37.27,22.79
ABCC10,11.41,34.23,10.1,14.37,28.26,13.82,15.45,11.8,9.53,13.94,16.73,11.83,14.41,30.85,11.01,15.66,13.53,10.59,29.51,16.53,25.16,11.24,22.29,10.79,10.5,8.8,10.26,10.87,19.39,22.57
ABCC11,0.06,0.11,0.12,0.14,0.07,0.07,0.04,0.11,0.2,0.04,0.09,0.07,0.2,1.36,46.7,0.14,100.04,0.57,2.18,0.6,0.27,90.53,0.1,0.05,0.18,10.75,12.37,0.07,0.09,0.42
ABCC12,0.0,0.01,0.05,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,1.94,0.01,3.67,0.0,0.06,0.03,0.0,17.17,0.0,0.0,0.0,0.72,0.52,0.16,0.0,0.01
ABCC2,49.94,1.16,0.76,2.83,0.14,0.12,0.13,0.4,0.52,0.06,0.69,1.11,2.06,3.6,21.32,0.64,0.09,10.67,0.62,0.09,0.32,0.42,1.04,4.23,0.13,1.06,5.74,0.17,2.1,6.23
ABCC3,247.18,4.8,20.86,46.98,1.06,0.12,0.14,34.5,0.41,0.07,0.27,0.09,111.53,0.07,60.09,9.83,2.91,14.71,44.77,48.54,2.7,8.13,43.34,20.81,123.52,11.89,5.55,3.47,5.22,2.82
ABCC4,5.76,8.89,13.77,22.73,10.85,3.5,6.7,9.64,140.54,2.55,3.62,2.68,4.84,0.04,4.07,0.69,0.09,12.19,2.04,0.2,6.21,0.04,5.96,0.42,3.57,0.05,0.05,0.11,12.2,6.16
ABCC5,14.4,23.11,15.46,13.87,5.63,19.82,11.77,7.95,22.22,8.23,11.42,15.34,19.62,39.54,45.53,35.68,109.02,56.14,40.58,64.2,31.97,57.21,67.76,35.02,18.58,78.45,222.39,16.77,42.19,36.97
ABCC6,2.72,0.25,0.65,0.11,0.24,0.06,0.14,0.81,0.1,0.02,2.0,0.05,0.35,1.08,0.14,0.05,10.61,1.42,1.29,0.22,0.27,20.25,0.45,1.13,4.26,2.73,3.73,2.42,2.88,2.47
ABCC8,13.77,0.19,0.64,0.09,0.39,0.0,0.0,0.03,0.13,0.04,0.0,0.08,0.11,0.0,7.03,1.96,6.69,0.17,0.0,0.0,0.36,0.24,0.31,0.01,2.15,0.67,2.84,0.6,0.0,0.11
ABCC9,0.01,0.06,0.04,0.04,3.08,0.0,0.0,0.26,0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.0,0.05,0.01,0.0,0.01,0.0,0.02,0.02,0.15,0.01,0.0,0.01,1.93,0.02,0.02
ABCD1,1.88,4.61,28.57,12.77,9.18,2.18,1.52,13.4,10.62,3.96,3.33,6.57,11.32,10.33,4.7,12.07,2.55,31.51,9.46,24.17,5.01,4.04,6.71,2.04,21.31,5.49,29.54,12.8,37.21,19.8
ABCD2,0.05,0.03,0.07,0.0,3.54,0.0,2.73,0.01,0.0,0.0,0.01,2.66,0.0,0.01,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.0,0.0,0.05,0.02,0.0,0.0,0.13,0.09,0.0
ABCD3,49.6,67.77,46.44,41.82,13.66,32.23,20.31,40.85,11.56,24.97,18.82,25.98,58.36,38.15,20.93,30.18,49.57,52.66,74.71,81.92,58.7,18.58,27.05,8.67,32.68,56.75,86.81,33.78,46.11,60.77
ABCD4,20.4,69.57,23.99,16.02,23.95,30.55,23.81,21.3,34.89,19.37,34.45,38.55,21.65,16.28,9.52,20.91,33.58,21.97,29.24,14.07,16.21,48.76,30.32,24.03,41.37,9.62,24.82,34.1,12.47,19.55
ABCE1,21.43,33.23,43.27,70.5,45.75,101.33,61.1,62.98,63.53,83.65,68.84,72.28,56.46,40.0,48.28,42.37,27.65,53.37,74.79,46.77,47.07,31.58,41.85,25.46,85.37,47.27,50.45,35.94,62.56,53.31
ABCF1,39.3,48.29,90.79,94.15,68.66,94.48,81.41,85.62,89.17,87.98,113.05,117.08,109.88,54.64,55.23,70.01,39.03,132.04,68.06,52.02,95.22,80.19,101.43,39.36,118.53,96.68,58.1,150.13,93.77,95.84
ABCF2,22.78,25.71,55.77,73.0,37.73,63.19,42.12,43.29,31.05,71.52,99.75,64.34,108.08,55.82,43.56,33.28,31.28,53.42,26.55,35.95,34.88,19.14,32.56,5.54,30.26,19.1,35.1,31.99,101.65,52.61
ABCF3,28.19,49.7,38.43,46.17,40.19,43.98,38.41,42.65,27.82,28.55,41.23,45.69,39.23,57.19,39.7,66.4,69.48,70.76,90.45,80.9,80.4,117.55,64.44,46.18,59.91,58.11,85.82,38.64,76.61,77.72
ABCG1,7.34,20.03,1.07,1.33,19.59,0.0,0.6,0.26,0.06,0.06,0.02,4.49,0.09,0.08,25.93,8.61,25.07,2.33,3.13,0.98,0.26,6.46,0.45,4.83,0.3,20.93,30.44,0.42,0.05,1.11
ABCG2,0.98,4.58,0.76,10.26,0.0,0.01,0.09,0.61,0.08,0.0,0.22,1.3,1.07,0.01,0.09,24.65,0.0,15.96,0.75,0.43,0.08,0.08,0.96,0.48,0.25,0.0,5.93,0.25,0.01,4.01
ABCG4,0.04,0.02,0.52,0.59,0.06,0.03,0.0,0.08,0.0,0.02,0.01,0.01,0.42,0.22,0.04,0.02,0.03,0.11,0.21,0.03,0.31,0.63,0.24,0.06,0.27,0.02,0.08,0.42,0.18,0.05
ABCG5,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.04,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.03,0.01,0.02,0.02,0.01,0.01
ABHD1,2.58,0.05,0.49,0.43,0.2,0.29,0.14,0.32,0.24,0.06,0.29,0.35,1.32,2.47,0.14,1.08,0.06,0.82,0.52,0.24,0.09,4.68,1.15,2.04,1.84,0.25,1.76,0.19,1.93,0.41
ABHD10,15.09,19.31,24.38,33.9,17.12,16.57,17.89,25.21,14.16,15.43,19.53,42.02,13.83,23.78,5.19,13.16,0.14,18.98,27.91,31.79,14.8,20.76,22.34,16.39,12.3,33.49,12.43,9.43,36.23,22.96
ABHD11,32.63,19.64,25.41,36.37,8.1,16.07,21.68,22.32,11.29,19.92,18.42,9.8,32.77,113.45,48.16,78.31,87.73,126.74,47.19,43.17,35.32,85.62,37.8,9.53,54.65,45.38,99.15,35.83,54.03,67.99
ABHD12,68.38,75.19,84.88,61.32,20.24,14.64,7.68,43.44,13.14,17.15,16.32,32.13,26.68,24.95,44.86,99.01,55.11,125.66,57.85,45.38,25.19,54.04,96.31,35.12,95.08,44.3,59.63,33.67,115.81,19.5
ABHD12B,0.08,0.98,0.29,0.24,0.15,0.0,38.42,0.13,0.03,0.08,0.82,6.61,0.07,0.18,0.05,0.03,1.61,0.2,0.1,0.12,0.06,0.53,0.08,0.17,0.3,3.59,74.15,4.6,0.74,0.06
ABHD13,5.58,7.95,9.39,6.13,5.48,4.81,4.03,2.77,5.65,1.71,4.41,8.86,2.46,1.36,3.89,2.32,7.19,3.08,5.04,4.87,3.91,3.28,10.05,4.4,2.79,3.95,2.58,6.31,2.46,1.75
ABHD14A,8.28,8.8,20.0,8.94,6.12,13.08,4.59,11.28,25.54,15.38,12.47,6.11,10.33,6.73,10.94,7.16,11.22,3.09,13.1,7.16,6.09,3.73,2.87,2.55,9.47,3.9,4.11,4.97,6.71,0.97
ABHD14A-ACY1,0.83,0.78,0.47,0.18,0.27,0.81,0.33,0.58,0.65,1.15,1.33,0.47,1.48,1.91,0.43,0.37,0.61,0.95,1.45,0.39,2.4,0.49,0.49,0.34,0.57,0.53,0.31,0.66,1.11,0.17
ABHD14B,36.09,24.4,26.88,21.71,41.31,61.08,9.88,19.04,110.59,78.67,19.62,23.4,81.25,62.8,40.72,16.27,25.72,38.87,58.86,21.44,28.13,81.51,12.47,14.18,15.69,35.84,25.0,6.22,11.45,24.36
ABHD15,10.63,5.42,4.47,9.93,2.97,9.01,2.21,6.22,3.68,3.05,5.87,35.42,1.51,1.39,10.32,6.36,7.52,2.68,7.07,6.24,3.69,10.76,9.48,3.42,10.61,0.64,3.62,4.73,4.48,3.65
ABHD16A,46.68,41.4,33.37,37.3,29.93,31.8,19.69,26.48,56.94,18.46,40.59,29.17,49.05,18.18,30.89,39.39,43.31,27.42,44.09,32.2,32.18,40.88,48.39,23.17,42.4,34.31,16.5,54.5,29.01,39.72
ABHD16B,4.64,10.92,3.51,1.61,3.03,9.63,3.86,5.01,4.01,5.2,2.89,2.51,5.27,6.15,2.32,9.25,9.92,6.49,14.77,6.03,3.56,10.06,2.12,3.91,4.07,20.75,4.46,2.6,7.65,2.61
ABHD17A,26.75,18.96,40.12,41.69,41.29,44.47,38.84,28.58,49.9,23.59,21.13,26.71,23.92,20.15,30.84,17.79,47.34,25.51,29.08,22.26,19.43,23.43,21.74,16.22,43.63,38.34,34.32,32.99,12.24,24.77
ABHD17B,5.33,9.71,19.05,9.86,8.77,17.15,20.88,8.83,7.08,17.45,8.84,18.38,7.52,11.31,6.44,7.47,13.58,10.72,11.11,11.38,12.85,3.96,8.2,6.06,9.17,13.12,8.79,15.6,10.65,23.02
ABHD17C,8.34,22.37,6.5,5.92,2.53,2.04,7.12,13.62,0.33,0.24,0.33,9.25,7.23,9.38,24.4,17.18,11.3,33.5,13.73,17.48,7.25,9.54,13.28,3.92,8.92,20.5,14.41,11.74,8.47,25.5
ABHD2,171.46,16.48,31.84,38.2,9.63,17.51,5.66,34.29,187.83,7.15,9.36,8.0,65.09,22.75,7.51,19.44,25.04,14.61,8.38,25.01,16.68,12.41,40.33,4.08,50.54,8.41,25.55,14.42,20.98,23.15
ABHD3,33.85,41.38,16.62,51.19,17.7,122.05,55.79,14.33,7.09,51.84,15.16,31.28,26.93,15.42,17.46,8.83,46.27,19.77,36.22,24.97,9.12,8.61,34.26,11.13,24.1,26.01,5.09,14.78,17.89,32.98
ABHD4,21.03,17.05,51.46,11.81,25.15,5.23,10.28,73.77,10.64,5.88,0.64,2.23,49.96,14.01,8.39,10.68,8.9,37.61,18.86,22.23,6.32,9.49,5.84,11.27,21.36,22.72,14.73,32.95,5.27,38.78
ABHD5,3.62,7.96,20.1,23.88,6.74,5.99,1.87,36.11,17.9,2.22,4.79,5.71,16.68,14.76,12.27,11.38,21.6,17.53,11.32,20.57,26.31,23.36,10.31,6.33,16.69,20.14,15.18,10.33,5.33,24.07
ABHD6,2.38,3.41,8.59,6.5,8.54,5.34,2.99,6.82,1.27,2.24,0.15,0.99,3.28,1.7,1.04,0.97,2.63,6.84,2.76,4.0,3.2,2.18,2.52,1.07,1.5,6.79,1.83,2.44,1.89,5.01
ABHD8,7.0,5.89,12.25,5.51,5.11,19.03,2.0,17.56,6.62,11.11,0.56,0.85,4.52,2.16,2.88,2.24,8.25,2.11,27.99,26.2,1.33,9.59,7.19,10.29,7.59,10.28,4.29,15.12,1.02,4.58
ABI1,19.41,31.03,36.79,15.24,33.38,20.79,52.38,18.13,28.22,31.44,13.99,24.26,24.21,39.7,19.68,20.89,44.93,26.0,35.47,77.86,29.42,19.16,85.76,10.09,54.53,28.99,47.16,35.31,70.87,36.84
ABI2,17.81,18.93,38.48,45.51,27.79,23.39,9.18,59.55,16.05,3.92,14.7,14.61,36.66,10.6,7.97,27.2,18.49,19.82,57.27,15.9,15.06,18.6,16.19,16.73,63.55,14.34,65.1,23.87,29.2,15.08
ABI3,0.04,0.0,0.0,0.0,37.06,56.19,7.86,0.0,0.12,35.08,1.45,0.77,0.02,0.03,0.12,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.04,0.04,0.01,0.19,0.08,0.0,0.0,0.01
ABI3BP,0.24,0.95,60.22,1.82,0.16,0.59,0.08,0.77,0.05,0.09,0.19,0.22,0.88,0.44,0.08,0.03,3.6,0.21,0.62,0.07,0.08,0.23,0.26,17.97,0.43,0.06,0.85,0.18,0.1,0.22
ABL1,31.01,20.37,80.09,26.75,8.9,45.61,14.61,47.1,13.96,18.01,17.98,31.29,39.59,19.92,13.71,16.46,22.59,11.67,18.54,24.01,24.7,24.02,19.85,9.84,39.4,15.52,24.47,60.06,19.34,31.6
ABL2,8.84,8.18,42.48,11.7,2.42,8.15,5.22,16.59,13.46,6.35,3.58,12.0,30.34,7.03,4.33,3.63,3.08,7.23,10.07,11.23,39.98,4.96,15.09,3.36,24.97,4.3,5.91,9.63,7.47,9.02
ABLIM1,29.92,33.44,8.28,10.64,2.93,6.83,82.94,39.09,0.09,7.29,13.12,43.66,17.49,40.59,31.64,5.85,8.9,53.21,30.4,56.96,15.37,15.62,31.55,26.79,20.36,44.39,36.76,119.56,15.64,39.96
ABLIM2,6.03,3.74,0.08,0.03,0.14,0.02,0.02,0.2,0.18,0.04,0.03,2.89,0.1,0.75,1.67,1.65,1.9,2.05,1.82,2.98,5.91,0.14,8.7,0.49,0.61,0.1,1.6,5.52,0.7,2.06
ABLIM3,0.48,19.32,33.42,62.51,0.11,0.04,0.07,33.94,0.03,0.02,0.03,0.1,2.73,0.11,0.92,3.4,9.73,2.68,11.79,5.84,0.18,2.43,8.0,2.71,27.45,0.3,27.74,0.52,0.18,3.51
ABR,68.18,23.51,55.61,98.31,68.13,105.4,31.36,51.23,9.67,36.72,33.0,20.5,64.51,19.48,17.64,61.89,26.68,10.4,23.7,11.39,14.13,35.14,59.16,10.25,41.92,43.0,32.26,41.76,29.15,22.97
ABRA,0.0,0.04,0.0,0.01,0.03,0.01,0.0,0.0,0.0,0.02,0.01,0.04,0.0,0.12,0.02,0.03,0.03,0.0,0.01,0.0,0.07,0.01,0.05,0.0,0.05,0.08,0.04,0.02,0.07,0.16
ABRACL,29.1,53.31,77.06,47.44,83.68,111.23,87.39,41.47,151.33,73.24,264.36,58.09,29.49,119.06,56.16,70.62,134.29,57.01,91.23,135.41,241.47,31.53,70.27,49.91,149.38,73.45,23.58,109.09,26.64,148.65
ABT1,16.17,13.51,17.18,17.04,21.7,34.81,34.1,17.58,29.45,38.91,34.5,42.2,17.2,12.41,16.06,18.94,21.73,19.7,20.19,18.14,24.16,21.29,10.68,17.94,38.32,27.67,18.38,25.88,20.02,27.91
