,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
OTOA,0.05,0.07,0.05,0.01,0.1,0.02,0.22,0.0,0.01,0.02,0.0,0.04,0.01,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.09,0.03,0.02,0.05,0.01,0.0,0.04,0.0,0.0
OTOF,0.12,0.02,0.01,0.1,0.65,0.0,0.0,0.0,23.77,0.01,0.02,0.02,0.18,0.01,0.0,0.08,0.0,0.02,0.02,0.0,0.01,0.01,0.41,0.01,0.05,0.06,0.04,0.02,0.04,0.0
OTOG,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.04,0.0,0.02,0.0,0.01,0.0,0.01,0.09,0.0,0.17,0.54,0.0,0.0,3.4,1.8,0.0
OTOGL,2.01,0.01,0.8,0.1,0.14,0.01,0.0,0.03,0.07,0.0,0.0,0.01,0.02,0.03,0.03,0.02,0.82,0.05,0.0,0.0,0.03,0.02,0.02,0.01,0.04,0.87,1.29,0.06,0.02,0.06
OTOL1,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.0,0.0,0.0
OTOP1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.05,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.24
OTOP2,0.03,0.17,0.03,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.01,0.47,0.0,0.0,0.0,0.01,0.12,0.0,0.03,0.03,0.0,0.12,0.0
OTOP3,0.42,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01,0.0,0.0,0.19,0.01,0.0,0.04,0.0,0.03,0.0,0.13,0.01,0.0,0.0,0.04
OTOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.03,0.0,0.04,5.76,0.0,0.0,0.0,6.67,0.0,0.0,0.03,1.21,7.96,0.03,0.0,0.0
OTOS,0.07,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.09,0.0,0.0,0.0
OTP,0.04,0.01,0.04,0.01,0.05,0.07,0.0,0.01,6.81,0.03,0.02,0.27,0.01,0.1,0.02,0.03,0.06,0.0,0.02,0.0,0.02,0.03,0.04,0.0,0.47,0.03,0.04,0.01,0.15,0.01
OTUB1,81.03,108.12,58.8,43.46,80.42,84.23,62.09,80.39,51.83,73.02,78.4,79.12,101.27,72.23,56.76,107.33,102.4,73.66,94.45,57.87,47.3,121.92,58.58,44.98,110.3,241.36,119.29,140.1,68.96,101.74
OTUB2,0.87,3.82,1.16,1.12,0.41,0.17,0.17,0.54,0.27,0.13,0.59,0.17,13.69,2.69,3.74,1.49,1.23,1.59,1.9,8.01,0.67,4.63,6.09,1.36,2.04,1.19,2.52,2.53,1.49,10.68
OTUD1,0.19,5.21,1.99,3.7,1.76,1.27,1.49,1.65,0.56,0.18,0.73,0.95,1.92,4.48,1.83,2.11,2.99,1.55,18.86,12.81,1.98,1.55,22.14,2.62,2.38,2.98,5.23,3.83,2.21,4.65
OTUD3,4.94,9.41,6.3,5.64,4.43,9.36,3.76,3.55,9.82,3.64,5.38,12.22,5.01,8.3,1.05,4.3,4.37,3.83,4.78,17.47,7.99,4.79,21.58,2.62,9.54,6.89,10.65,5.23,6.91,6.22
OTUD4,7.51,14.18,14.45,18.15,10.65,20.47,13.83,16.41,17.44,11.09,17.39,27.71,12.84,13.56,9.07,9.37,7.86,22.04,22.69,22.81,15.69,7.53,18.3,9.76,40.87,15.45,12.26,24.3,18.66,20.31
OTUD5,33.5,39.26,48.65,28.83,46.92,70.39,36.02,51.46,71.78,37.56,42.45,36.59,35.35,33.43,13.92,22.76,32.83,28.65,38.86,11.36,10.0,41.76,18.3,20.35,32.96,28.41,33.37,34.16,32.22,32.79
OTUD6A,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
OTUD6B,6.72,15.48,12.7,15.59,12.8,26.47,17.17,11.05,12.12,23.39,15.14,19.54,10.23,27.06,15.01,29.29,23.11,38.65,30.98,23.33,23.96,15.4,22.09,3.95,35.93,54.25,45.23,11.93,25.63,45.27
OTUD7A,0.51,0.2,0.04,0.01,0.05,0.17,0.12,0.12,0.03,0.01,0.05,0.08,0.11,0.85,0.41,0.42,0.38,0.3,0.3,0.11,0.55,0.15,0.27,0.03,0.12,0.01,0.77,0.79,0.29,0.08
OTUD7B,8.94,3.98,17.35,5.79,3.59,3.17,0.89,6.01,5.3,0.63,2.25,1.13,8.2,17.28,11.16,7.63,7.53,14.94,4.41,11.75,10.24,6.04,7.67,3.78,22.93,11.62,19.13,24.08,13.67,25.77
OTX1,2.41,4.81,1.69,0.39,0.67,0.55,0.12,2.09,4.21,1.47,2.97,3.27,2.55,9.95,0.11,1.37,1.59,0.55,3.7,6.34,5.53,1.37,5.12,3.92,5.65,3.46,1.85,5.17,3.88,3.01
OTX2,0.13,0.09,0.03,0.0,0.12,0.02,0.0,0.0,0.17,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.04,0.15,0.0,0.0,0.18,0.0,0.15,0.03
OVCA2,22.16,11.86,30.92,35.71,32.83,22.29,23.51,30.64,10.22,9.53,16.13,21.69,30.01,21.91,18.7,51.55,33.13,30.61,35.09,27.55,13.21,30.27,29.29,16.94,31.98,29.01,23.56,21.61,31.12,34.22
