,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
A1BG,8.12,1.39,6.63,16.1,59.89,19.65,0.73,3.05,22.09,4.4,36.6,34.93,38.82,0.58,15.78,15.3
A1CF,0.01,0.02,0.01,0.01,0.04,0.0,0.01,0.04,0.0,0.18,0.01,0.0,0.06,0.01,0.01,0.03
A2M,11.53,11.22,0.15,0.19,0.15,0.09,0.01,0.06,0.12,0.0,0.09,0.02,0.24,0.15,1059.0,0.27
A2ML1,0.01,0.01,0.1,0.05,0.11,3.11,28.62,0.17,0.09,6.05,0.1,0.14,2.21,0.15,0.41,1.37
A3GALT2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.0,0.39,0.0
A4GALT,13.86,0.0,0.68,25.99,3.4,5.68,0.76,0.47,6.6,17.45,0.39,3.3,60.56,0.28,4.12,4.49
A4GNT,0.01,0.0,0.0,0.0,0.0,0.06,0.27,0.18,0.14,0.14,0.14,0.0,0.0,0.0,0.01,0.04
AAAS,49.82,25.8,30.44,63.81,45.35,40.76,27.74,30.72,75.06,49.69,40.61,36.44,39.11,25.61,52.21,38.3
AACS,16.45,10.84,17.34,34.8,34.21,22.63,36.24,36.24,23.78,17.08,41.28,28.98,28.75,17.64,24.93,31.82
AADAC,0.02,0.03,0.02,0.11,0.0,0.0,0.23,0.0,0.04,0.02,0.04,0.04,0.03,0.04,0.03,0.1
AADACL2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
AADACL3,0.04,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.01,0.11
AADACL4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.02
AADAT,4.77,9.27,0.63,4.53,0.01,2.85,0.11,6.35,0.14,3.91,19.02,2.16,2.76,10.72,12.84,2.43
AAED1,7.04,5.23,0.95,2.37,4.77,6.59,6.29,2.54,1.87,3.82,4.95,1.36,5.41,1.77,5.54,4.95
AAGAB,48.03,22.85,39.51,70.66,37.84,31.68,42.31,34.15,40.88,44.56,52.12,43.15,63.64,20.91,22.57,55.05
AAK1,5.37,2.77,1.54,2.51,1.73,11.04,7.99,4.38,2.37,5.45,12.12,5.58,3.26,4.43,4.96,9.47
AAMDC,35.33,25.56,15.57,37.06,94.69,52.33,44.03,29.15,40.82,44.91,67.02,44.24,37.41,57.04,55.8,46.96
AAMP,105.07,99.34,82.35,155.81,136.01,62.99,90.65,73.79,106.1,80.33,158.6,137.4,240.44,80.5,157.49,103.76
AANAT,1.94,0.14,0.12,0.04,0.17,0.45,0.32,0.95,0.29,0.97,0.13,0.22,1.26,0.49,0.19,0.07
AAR2,25.03,26.02,16.34,20.05,34.82,26.04,20.21,19.63,31.47,50.06,36.52,50.03,17.05,18.27,44.22,18.51
AARD,36.0,491.72,0.31,24.71,146.59,14.38,29.17,544.72,1.1,35.74,101.81,0.89,10.61,1.45,295.25,2.53
AARS,156.16,76.75,39.71,208.83,104.69,175.42,240.4,83.44,162.64,84.5,91.68,118.22,151.26,88.13,67.54,167.0
AARS2,11.85,13.3,8.43,7.76,6.59,13.31,7.7,11.41,8.34,12.39,11.66,11.55,6.86,12.72,29.39,12.18
AARSD1,49.37,49.0,26.79,29.28,64.24,56.99,33.96,100.98,72.71,32.77,80.69,23.37,41.01,24.15,42.99,33.02
AASDH,4.69,4.75,2.7,2.97,13.56,6.94,1.89,9.02,6.15,12.81,5.93,10.09,3.88,4.73,4.72,7.79
AASDHPPT,17.71,23.24,20.15,11.37,24.56,24.11,18.04,13.66,27.06,15.42,24.62,13.84,20.58,28.76,22.98,22.26
AASS,0.26,0.88,0.1,0.09,0.08,0.11,0.04,0.44,0.82,0.11,1.58,0.06,0.19,9.43,1.26,0.9
AATF,53.03,41.35,15.96,35.28,24.71,65.61,38.84,58.09,47.22,33.72,56.14,22.6,41.04,36.67,60.66,76.82
AATK,4.41,2.64,0.19,0.42,0.73,1.06,0.48,0.55,0.7,0.65,2.82,0.64,0.93,1.54,1.48,0.25
ABAT,5.31,0.19,4.37,47.52,16.3,8.35,2.75,0.47,27.0,3.64,1.45,9.94,94.32,1.14,2.48,1.52
ABCA1,2.07,0.01,1.91,0.13,1.06,1.52,1.88,0.28,0.25,0.32,0.42,0.54,0.16,2.12,2.34,1.11
ABCA10,0.21,0.6,0.17,0.62,0.07,0.33,0.02,0.14,0.03,1.15,0.4,0.2,0.07,0.22,0.18,0.1
ABCA12,0.01,0.07,1.06,26.08,15.48,1.33,7.93,0.05,11.29,1.93,0.11,6.9,36.21,0.09,0.04,6.17
ABCA13,0.27,10.65,0.01,0.01,0.02,0.03,0.01,0.01,0.02,2.15,0.02,0.01,5.71,0.04,0.12,0.29
ABCA2,36.05,72.02,19.11,66.56,78.54,44.5,17.42,48.35,135.42,21.74,23.47,71.88,55.46,43.73,68.46,33.83
ABCA3,2.69,16.98,26.53,22.06,24.72,3.07,0.99,9.05,38.92,17.3,6.06,19.46,23.31,3.06,2.65,3.85
ABCA4,21.63,3.41,0.41,0.11,0.61,5.84,0.31,150.33,0.21,0.14,1.0,0.23,10.57,33.03,0.41,3.14
ABCA5,6.1,14.45,1.58,18.73,18.95,6.53,0.87,2.06,13.99,7.98,15.6,6.98,9.03,6.05,9.03,6.58
ABCA6,0.02,0.09,0.02,0.06,0.01,0.0,0.02,0.02,0.01,0.06,0.01,0.1,0.06,0.06,0.02,0.02
ABCA7,6.47,10.26,2.19,7.77,22.77,15.06,13.38,5.83,16.07,18.69,12.09,12.32,15.26,2.6,3.41,16.91
ABCA8,0.0,0.03,0.0,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.01,0.76,0.0,0.13,0.0,0.0
ABCA9,0.0,0.1,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.0,0.09,0.0,0.0
ABCB1,0.09,0.0,0.05,0.03,0.07,0.01,0.03,0.01,0.04,0.09,0.26,0.13,0.41,0.93,0.39,0.09
ABCB10,8.12,15.37,19.27,5.63,9.51,10.37,12.63,11.02,8.52,4.25,6.79,9.62,11.28,12.57,33.29,18.51
ABCB11,0.01,0.0,0.0,0.0,0.02,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,1.31
ABCB4,0.01,0.0,0.0,0.22,0.26,0.01,0.0,0.02,0.25,0.01,0.02,0.42,0.4,0.05,0.58,0.18
ABCB5,0.0,30.48,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.02,0.04
ABCB6,51.15,55.95,14.94,34.58,58.61,12.39,19.16,25.12,15.69,14.02,28.66,31.89,33.16,18.76,40.94,15.11
ABCB7,10.06,11.97,14.88,10.3,15.46,14.0,17.71,10.52,8.21,21.41,13.48,8.62,17.85,30.77,13.48,20.81
ABCB8,58.25,68.43,32.69,30.71,34.69,18.7,34.6,9.15,18.15,16.86,11.42,13.8,18.14,11.2,65.52,27.35
ABCB9,11.09,11.34,10.62,13.88,11.04,7.61,9.23,15.19,9.17,15.5,11.82,18.7,29.7,6.45,14.64,13.96
ABCC1,61.72,16.5,12.2,14.75,16.64,19.95,24.11,7.77,12.48,60.56,18.46,9.27,14.95,86.29,37.27,22.79
ABCC10,14.41,30.85,11.01,15.66,13.53,29.51,16.53,25.16,11.24,22.29,10.5,8.8,10.26,10.87,19.39,22.57
ABCC11,0.2,1.36,46.7,0.14,100.04,2.18,0.6,0.27,90.53,0.1,0.18,10.75,12.37,0.07,0.09,0.42
ABCC12,0.1,0.02,1.94,0.01,3.67,0.06,0.03,0.0,17.17,0.0,0.0,0.72,0.52,0.16,0.0,0.01
ABCC2,2.06,3.6,21.32,0.64,0.09,0.62,0.09,0.32,0.42,1.04,0.13,1.06,5.74,0.17,2.1,6.23
ABCC3,111.53,0.07,60.09,9.83,2.91,44.77,48.54,2.7,8.13,43.34,123.52,11.89,5.55,3.47,5.22,2.82
ABCC4,4.84,0.04,4.07,0.69,0.09,2.04,0.2,6.21,0.04,5.96,3.57,0.05,0.05,0.11,12.2,6.16
ABCC5,19.62,39.54,45.53,35.68,109.02,40.58,64.2,31.97,57.21,67.76,18.58,78.45,222.39,16.77,42.19,36.97
ABCC6,0.35,1.08,0.14,0.05,10.61,1.29,0.22,0.27,20.25,0.45,4.26,2.73,3.73,2.42,2.88,2.47
ABCC8,0.11,0.0,7.03,1.96,6.69,0.0,0.0,0.36,0.24,0.31,2.15,0.67,2.84,0.6,0.0,0.11
ABCC9,0.03,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.02,0.02,0.01,0.0,0.01,1.93,0.02,0.02
ABCD1,11.32,10.33,4.7,12.07,2.55,9.46,24.17,5.01,4.04,6.71,21.31,5.49,29.54,12.8,37.21,19.8
ABCD2,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.13,0.09,0.0
ABCD3,58.36,38.15,20.93,30.18,49.57,74.71,81.92,58.7,18.58,27.05,32.68,56.75,86.81,33.78,46.11,60.77
ABCD4,21.65,16.28,9.52,20.91,33.58,29.24,14.07,16.21,48.76,30.32,41.37,9.62,24.82,34.1,12.47,19.55
ABCE1,56.46,40.0,48.28,42.37,27.65,74.79,46.77,47.07,31.58,41.85,85.37,47.27,50.45,35.94,62.56,53.31
ABCF1,109.88,54.64,55.23,70.01,39.03,68.06,52.02,95.22,80.19,101.43,118.53,96.68,58.1,150.13,93.77,95.84
ABCF2,108.08,55.82,43.56,33.28,31.28,26.55,35.95,34.88,19.14,32.56,30.26,19.1,35.1,31.99,101.65,52.61
ABCF3,39.23,57.19,39.7,66.4,69.48,90.45,80.9,80.4,117.55,64.44,59.91,58.11,85.82,38.64,76.61,77.72
ABCG1,0.09,0.08,25.93,8.61,25.07,3.13,0.98,0.26,6.46,0.45,0.3,20.93,30.44,0.42,0.05,1.11
ABCG2,1.07,0.01,0.09,24.65,0.0,0.75,0.43,0.08,0.08,0.96,0.25,0.0,5.93,0.25,0.01,4.01
ABCG4,0.42,0.22,0.04,0.02,0.03,0.21,0.03,0.31,0.63,0.24,0.27,0.02,0.08,0.42,0.18,0.05
ABCG5,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.0
ABCG8,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.01,0.02,0.02,0.01,0.01
ABHD1,1.32,2.47,0.14,1.08,0.06,0.52,0.24,0.09,4.68,1.15,1.84,0.25,1.76,0.19,1.93,0.41
ABHD10,13.83,23.78,5.19,13.16,0.14,27.91,31.79,14.8,20.76,22.34,12.3,33.49,12.43,9.43,36.23,22.96
ABHD11,32.77,113.45,48.16,78.31,87.73,47.19,43.17,35.32,85.62,37.8,54.65,45.38,99.15,35.83,54.03,67.99
ABHD12,26.68,24.95,44.86,99.01,55.11,57.85,45.38,25.19,54.04,96.31,95.08,44.3,59.63,33.67,115.81,19.5
ABHD12B,0.07,0.18,0.05,0.03,1.61,0.1,0.12,0.06,0.53,0.08,0.3,3.59,74.15,4.6,0.74,0.06
ABHD13,2.46,1.36,3.89,2.32,7.19,5.04,4.87,3.91,3.28,10.05,2.79,3.95,2.58,6.31,2.46,1.75
ABHD14A,10.33,6.73,10.94,7.16,11.22,13.1,7.16,6.09,3.73,2.87,9.47,3.9,4.11,4.97,6.71,0.97
ABHD14A-ACY1,1.48,1.91,0.43,0.37,0.61,1.45,0.39,2.4,0.49,0.49,0.57,0.53,0.31,0.66,1.11,0.17
ABHD14B,81.25,62.8,40.72,16.27,25.72,58.86,21.44,28.13,81.51,12.47,15.69,35.84,25.0,6.22,11.45,24.36
ABHD15,1.51,1.39,10.32,6.36,7.52,7.07,6.24,3.69,10.76,9.48,10.61,0.64,3.62,4.73,4.48,3.65
ABHD16A,49.05,18.18,30.89,39.39,43.31,44.09,32.2,32.18,40.88,48.39,42.4,34.31,16.5,54.5,29.01,39.72
ABHD16B,5.27,6.15,2.32,9.25,9.92,14.77,6.03,3.56,10.06,2.12,4.07,20.75,4.46,2.6,7.65,2.61
ABHD17A,23.92,20.15,30.84,17.79,47.34,29.08,22.26,19.43,23.43,21.74,43.63,38.34,34.32,32.99,12.24,24.77
ABHD17B,7.52,11.31,6.44,7.47,13.58,11.11,11.38,12.85,3.96,8.2,9.17,13.12,8.79,15.6,10.65,23.02
ABHD17C,7.23,9.38,24.4,17.18,11.3,13.73,17.48,7.25,9.54,13.28,8.92,20.5,14.41,11.74,8.47,25.5
ABHD2,65.09,22.75,7.51,19.44,25.04,8.38,25.01,16.68,12.41,40.33,50.54,8.41,25.55,14.42,20.98,23.15
ABHD3,26.93,15.42,17.46,8.83,46.27,36.22,24.97,9.12,8.61,34.26,24.1,26.01,5.09,14.78,17.89,32.98
ABHD4,49.96,14.01,8.39,10.68,8.9,18.86,22.23,6.32,9.49,5.84,21.36,22.72,14.73,32.95,5.27,38.78
ABHD5,16.68,14.76,12.27,11.38,21.6,11.32,20.57,26.31,23.36,10.31,16.69,20.14,15.18,10.33,5.33,24.07
ABHD6,3.28,1.7,1.04,0.97,2.63,2.76,4.0,3.2,2.18,2.52,1.5,6.79,1.83,2.44,1.89,5.01
ABHD8,4.52,2.16,2.88,2.24,8.25,27.99,26.2,1.33,9.59,7.19,7.59,10.28,4.29,15.12,1.02,4.58
ABI1,24.21,39.7,19.68,20.89,44.93,35.47,77.86,29.42,19.16,85.76,54.53,28.99,47.16,35.31,70.87,36.84
ABI2,36.66,10.6,7.97,27.2,18.49,57.27,15.9,15.06,18.6,16.19,63.55,14.34,65.1,23.87,29.2,15.08
ABI3,0.02,0.03,0.12,0.0,0.1,0.0,0.0,0.03,0.0,0.04,0.01,0.19,0.08,0.0,0.0,0.01
ABI3BP,0.88,0.44,0.08,0.03,3.6,0.62,0.07,0.08,0.23,0.26,0.43,0.06,0.85,0.18,0.1,0.22
ABL1,39.59,19.92,13.71,16.46,22.59,18.54,24.01,24.7,24.02,19.85,39.4,15.52,24.47,60.06,19.34,31.6
ABL2,30.34,7.03,4.33,3.63,3.08,10.07,11.23,39.98,4.96,15.09,24.97,4.3,5.91,9.63,7.47,9.02
ABLIM1,17.49,40.59,31.64,5.85,8.9,30.4,56.96,15.37,15.62,31.55,20.36,44.39,36.76,119.56,15.64,39.96
ABLIM2,0.1,0.75,1.67,1.65,1.9,1.82,2.98,5.91,0.14,8.7,0.61,0.1,1.6,5.52,0.7,2.06
ABLIM3,2.73,0.11,0.92,3.4,9.73,11.79,5.84,0.18,2.43,8.0,27.45,0.3,27.74,0.52,0.18,3.51
ABR,64.51,19.48,17.64,61.89,26.68,23.7,11.39,14.13,35.14,59.16,41.92,43.0,32.26,41.76,29.15,22.97
ABRA,0.0,0.12,0.02,0.03,0.03,0.01,0.0,0.07,0.01,0.05,0.05,0.08,0.04,0.02,0.07,0.16
ABRACL,29.49,119.06,56.16,70.62,134.29,91.23,135.41,241.47,31.53,70.27,149.38,73.45,23.58,109.09,26.64,148.65
ABT1,17.2,12.41,16.06,18.94,21.73,20.19,18.14,24.16,21.29,10.68,38.32,27.67,18.38,25.88,20.02,27.91
ABTB1,13.14,7.57,6.59,4.48,9.66,10.62,11.19,10.07,3.85,14.63,8.35,5.11,9.22,6.88,22.1,4.95
ABTB2,10.89,4.85,4.51,14.28,6.01,7.86,4.33,4.04,6.33,13.09,12.52,4.53,16.06,6.94,11.13,10.98
AC000003.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0
AC002310.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002365.1,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.07,0.0,0.0,0.29
AC002398.9,3.27,1.15,1.62,1.48,4.21,6.68,1.01,8.04,0.0,0.26,3.16,2.05,9.22,4.0,0.0,0.5
AC002451.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002472.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002472.13,0.0,0.0,0.0,0.05,0.02,0.05,0.0,0.0,0.04,0.16,1.38,0.08,0.01,0.01,0.0,0.03
AC002553.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002985.3,1.53,0.14,0.04,0.0,0.0,0.23,0.34,0.06,0.12,0.28,0.16,0.0,0.31,1.92,0.23,0.11
AC003002.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003002.6,0.16,0.05,0.04,0.26,0.5,0.6,0.16,0.06,0.07,0.08,0.71,0.71,0.41,1.23,0.1,0.31
AC003005.4,0.41,0.0,0.0,0.12,0.17,1.03,0.0,0.0,0.35,0.0,0.0,0.71,0.08,0.23,0.11,0.0
AC003006.7,0.94,0.0,0.23,0.0,0.88,0.92,0.16,0.53,0.0,0.29,0.19,0.41,0.48,1.51,0.58,0.0
AC003043.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003101.1,0.0,0.0,0.0,0.0,0.12,0.15,0.0,0.0,0.0,0.0,0.17,0.09,0.06,0.0,0.0,0.0
AC003102.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.01,0.02,0.02
AC004017.1,0.0,0.0,0.0,0.61,0.21,1.31,0.0,0.21,0.34,0.0,2.8,0.0,0.2,0.0,0.27,0.0
AC004076.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
AC004076.9,0.37,0.0,0.0,0.23,0.14,1.57,0.2,0.26,0.61,0.56,1.36,0.4,0.38,0.35,0.86,0.0
AC004381.6,49.82,7.34,4.42,10.38,14.89,7.19,9.53,5.58,18.86,9.61,17.07,18.14,16.15,6.58,6.37,5.87
AC004466.1,1.45,1.39,0.57,0.51,1.76,3.37,1.55,1.93,1.5,1.47,1.22,1.21,3.03,1.19,0.59,1.87
AC004528.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004817.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004824.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004899.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005003.1,2.98,0.43,0.99,3.47,4.52,2.45,1.35,0.64,4.54,3.03,1.85,2.96,1.94,1.2,1.51,0.74
AC005008.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
AC005082.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005358.1,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
AC005477.1,0.0,0.01,0.0,0.03,0.02,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0
AC005481.5,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
AC005488.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005493.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005544.1,0.0,0.0,0.63,1.41,4.36,0.26,0.72,2.02,2.17,0.0,2.47,0.75,25.51,0.0,0.0,0.69
AC005549.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005606.1,0.08,1.07,0.83,0.0,1.86,1.53,0.56,0.49,1.32,0.67,1.59,0.96,1.11,0.97,0.0,0.36
AC005609.1,0.39,0.16,0.12,0.43,0.25,0.08,0.0,0.61,0.6,0.0,0.63,0.57,1.99,0.87,0.02,0.81
AC005779.2,0.0,0.0,0.25,0.24,0.27,0.06,0.22,0.19,0.06,0.0,0.13,0.06,0.55,0.0,0.0,0.29
AC005841.1,0.7,0.24,0.39,0.36,0.67,0.81,0.0,1.1,1.21,0.44,0.35,0.79,2.02,0.78,0.14,0.2
AC006014.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006116.20,0.07,0.1,0.04,0.26,0.57,0.1,0.29,0.2,0.12,0.08,0.27,0.0,0.05,0.1,0.06,0.2
AC006126.3,0.0,0.0,0.0,0.2,0.28,0.12,0.0,0.05,0.0,0.17,0.13,0.0,0.56,0.06,0.0,1.2
AC006132.1,0.11,0.03,4.6,1.53,0.17,1.87,0.37,0.0,0.19,4.61,0.35,0.26,1.08,0.0,0.09,3.01
AC006156.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006372.1,0.05,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.02,0.0,0.0
AC006435.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006449.1,16.28,27.45,11.13,14.69,9.68,22.64,31.7,47.06,38.11,11.5,13.91,7.91,8.37,26.98,17.37,67.94
AC006455.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006486.1,0.29,0.16,0.32,0.47,1.0,0.42,0.23,0.07,0.32,0.2,0.21,0.23,0.31,0.2,0.36,0.38
AC006486.9,0.55,0.0,0.24,0.53,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,1.99,0.0
AC006538.4,1.99,0.0,0.0,0.45,0.0,0.45,0.0,0.0,5.08,10.01,0.0,6.71,4.76,0.0,0.0,5.27
AC006547.14,0.32,0.29,0.03,0.03,0.38,0.3,0.06,0.39,0.1,0.83,1.59,0.14,0.01,0.16,0.27,0.16
AC006946.15,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.03,0.02,0.0,0.0,0.03,0.0,0.09,0.09,0.0
AC006967.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007040.11,0.09,0.29,0.04,0.05,0.07,0.26,0.15,0.74,0.04,0.05,0.14,0.09,0.37,0.04,0.47,0.03
AC007204.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007216.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007375.1,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.03,1.6,0.0,0.0,0.0
AC007377.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007382.1,0.7,1.56,1.06,2.11,0.91,1.12,0.0,1.37,1.56,0.0,1.38,1.66,0.0,1.15,1.16,0.0
AC007390.5,20.54,16.43,8.51,23.9,22.04,23.18,18.06,23.43,13.14,10.4,29.7,22.98,36.8,11.17,21.75,13.35
AC007401.2,0.0,0.08,0.07,0.09,0.07,0.26,0.0,0.14,0.1,0.0,0.49,0.0,0.14,0.0,0.0,0.0
AC007405.2,0.0,0.07,0.08,0.1,0.0,0.06,0.0,0.08,0.08,0.06,0.13,1.17,0.03,0.01,0.04,0.09
AC007421.1,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0
AC007431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007461.1,0.0,0.79,0.0,0.0,0.06,0.0,0.09,0.03,0.0,1.93,0.34,0.0,0.0,0.0,5.68,0.0
AC007557.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007773.3,0.0,0.13,0.1,0.36,0.3,0.32,0.41,0.0,0.54,0.83,0.76,0.74,0.53,1.43,0.0,0.0
AC007919.2,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007952.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007952.5,0.0,0.0,0.0,0.02,0.01,0.35,0.18,0.06,0.03,0.27,0.58,0.0,0.02,0.01,2.75,0.06
AC007952.6,0.23,0.05,0.04,0.16,0.03,0.34,0.0,0.0,0.04,0.7,0.0,0.0,0.0,0.02,3.69,0.1
AC007956.1,0.53,0.55,0.23,0.43,0.0,1.09,1.42,0.69,0.0,0.0,0.83,0.7,1.21,1.02,0.0,0.51
AC007965.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008060.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008132.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0
AC008132.13,0.0,0.03,0.11,0.4,0.02,0.01,0.02,0.29,0.01,0.01,0.07,0.03,0.04,0.1,0.0,0.0
AC008267.1,0.02,0.05,0.0,0.02,0.16,0.06,0.0,0.05,0.04,0.05,0.0,0.02,0.03,0.11,0.02,0.03
AC008271.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008387.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008394.1,0.0,0.0,0.0,0.0,0.28,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0
AC008443.1,4.08,6.47,4.93,5.79,9.24,10.47,4.11,7.23,6.78,10.85,6.67,2.52,3.69,3.59,4.39,14.82
AC008498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008686.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
