,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
FAM214A,4.0,5.49,19.79,31.49,37.75,12.95,46.56,5.88,42.27,10.59,16.51,31.13,37.21,11.45,8.87,38.7
FAM214B,12.81,7.85,13.97,5.59,8.27,7.21,14.87,1.82,5.63,6.21,11.2,5.3,3.71,3.25,4.63,6.95
FAM215A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM216A,16.16,19.96,4.78,9.62,9.18,11.97,2.97,30.83,20.75,17.88,7.0,6.26,6.8,3.69,21.35,7.94
FAM216B,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM217A,0.58,0.0,0.01,0.0,0.75,0.0,0.0,0.38,0.01,0.0,0.83,0.0,0.35,0.01,0.24,0.0
FAM217B,7.94,5.24,6.57,14.83,13.7,10.07,9.13,5.65,9.32,7.81,9.12,13.43,23.58,5.37,12.76,22.04
FAM218A,1.74,0.0,0.13,0.69,0.0,1.03,0.08,0.52,0.0,0.44,6.3,1.06,0.32,0.31,0.89,0.0
FAM219A,9.47,10.38,6.13,9.01,22.08,9.66,20.02,5.37,6.18,6.36,19.36,8.58,16.13,15.27,22.3,9.03
FAM219B,24.42,17.68,12.39,35.09,21.89,17.29,16.9,35.45,28.26,24.67,43.89,27.35,13.59,19.28,21.14,16.94
FAM21A,27.48,28.39,8.31,10.38,18.25,4.02,14.3,11.24,29.11,35.16,25.27,19.43,22.96,35.11,13.32,17.43
FAM21B,2.93,1.0,4.14,3.74,8.84,6.9,0.79,4.63,0.51,1.09,13.3,0.35,9.16,0.46,0.75,0.2
FAM21C,23.15,31.33,7.25,6.48,10.42,14.33,7.27,9.75,16.54,24.47,22.8,11.14,15.74,29.21,15.98,10.54
FAM21D,8.47,14.78,3.66,2.92,5.39,7.1,5.55,5.67,6.22,11.37,2.38,4.99,6.53,10.63,3.48,4.56
FAM220A,12.19,7.74,9.53,14.97,14.06,20.02,19.3,13.91,16.19,15.96,14.0,12.41,22.72,25.88,9.94,17.16
FAM221A,0.17,4.62,0.12,4.73,8.62,5.78,3.59,8.97,6.37,1.12,4.58,1.8,7.77,10.14,2.65,0.12
FAM221B,0.0,0.15,0.03,0.04,0.56,0.19,0.02,0.12,0.17,0.02,0.12,0.2,0.06,0.0,0.0,0.05
FAM222A,1.29,5.09,5.72,3.82,8.96,2.58,1.8,0.59,4.01,5.18,5.51,9.9,8.07,1.51,10.7,1.45
FAM222B,6.71,7.27,15.47,9.3,12.29,9.34,9.03,12.32,10.03,9.33,22.64,19.58,4.59,10.59,10.45,11.97
FAM227A,1.61,2.78,1.27,0.56,2.57,0.89,1.69,1.72,1.81,6.98,1.3,1.14,0.62,1.2,0.97,0.71
FAM227B,3.15,2.09,0.66,4.47,5.33,1.55,2.88,1.95,4.53,2.88,5.02,2.43,2.3,1.24,4.18,4.53
FAM228A,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.04,0.02,0.06,0.06,0.05,0.0,0.0,0.0
FAM228B,0.9,5.01,0.23,1.02,3.08,2.35,1.38,1.36,3.59,7.32,4.18,4.24,2.36,2.95,0.59,2.14
FAM229A,7.1,2.21,1.26,2.78,4.01,2.06,4.46,10.23,5.18,6.82,6.02,2.92,3.44,6.94,4.9,3.88
FAM229B,6.28,3.73,1.13,0.47,9.37,9.91,4.34,3.85,6.71,7.3,8.66,5.17,3.2,1.85,4.48,2.52
FAM230A,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.73,0.08,0.22,0.0
FAM24A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM24B,16.8,3.53,2.98,10.26,7.24,23.11,10.66,11.3,6.06,0.0,11.05,0.05,8.13,2.68,0.05,4.61
FAM25A,0.0,0.0,1.94,1.14,0.79,0.13,0.0,0.11,9.13,0.39,0.31,3.31,6.78,0.0,0.0,0.87
FAM25B,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.08,0.0,0.37,0.0,0.07,0.0
FAM25C,0.22,0.0,2.61,0.2,0.0,2.58,0.0,0.15,0.48,2.15,0.78,0.73,0.41,0.0,0.0,1.38
FAM25E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
FAM25G,0.0,0.0,0.55,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.08,0.0,0.37,0.0,0.07,0.0
FAM26D,0.0,0.0,0.06,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.0,0.0,0.0
FAM26E,0.01,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.2,0.01,0.0,0.0,0.05,0.0,0.01
FAM26F,0.15,5.14,0.0,0.65,0.05,0.56,8.48,2.82,0.0,8.69,2.6,0.13,6.31,3.2,7.0,0.03
FAM27A,5.41,39.69,4.11,0.0,10.29,4.18,0.65,3.6,1.26,5.8,1.63,0.15,3.37,1.25,3.25,0.32
FAM27B,0.0,4.05,0.91,0.0,0.0,1.96,0.0,0.54,0.0,1.6,0.62,0.0,0.07,0.42,2.4,0.0
FAM27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
FAM27D1,0.04,0.15,0.02,0.0,0.28,0.01,0.0,0.02,0.02,0.02,0.11,0.0,0.15,0.03,0.03,0.0
FAM27E1,0.42,0.42,0.12,0.0,7.42,0.4,0.0,0.45,0.25,0.16,1.12,0.0,1.54,0.54,0.26,0.07
FAM27E2,0.39,1.31,0.03,0.05,0.28,0.24,0.0,0.31,0.34,0.08,0.04,0.0,0.24,0.08,0.13,0.05
FAM27E3,3.83,4.75,2.83,0.0,3.75,4.78,0.27,5.82,0.61,2.16,3.38,0.12,1.74,2.97,2.46,0.8
FAM32A,113.9,56.67,84.62,99.19,110.11,91.78,84.11,73.46,54.6,80.64,108.72,96.69,40.04,156.95,42.56,79.67
FAM35A,13.79,11.51,17.58,14.18,16.16,0.04,18.04,23.94,19.06,10.72,22.38,17.82,18.42,11.22,15.74,12.22
FAM3A,72.45,18.87,21.63,37.53,42.85,31.78,55.49,17.97,23.86,17.4,45.37,21.99,38.09,34.95,53.01,56.03
FAM3B,0.13,0.22,0.56,0.04,1.45,0.06,0.04,0.23,0.16,0.07,1.0,0.1,7.92,0.43,0.26,0.22
FAM3C,66.53,29.82,15.95,30.88,44.97,52.48,137.62,18.45,15.34,110.13,143.98,30.55,43.96,20.69,121.82,184.15
FAM3D,0.07,0.03,0.12,0.0,0.06,0.14,0.06,0.4,0.12,0.02,0.02,0.0,0.07,0.06,0.0,0.05
FAM43A,1.1,0.6,0.39,1.43,3.08,11.69,53.1,0.09,1.85,8.82,0.93,2.32,1.88,9.56,0.17,1.98
FAM43B,0.03,0.0,0.0,0.01,0.0,0.33,0.03,0.02,0.0,0.72,0.0,0.01,0.01,0.03,0.0,0.01
FAM45A,27.19,30.88,28.31,34.43,29.42,17.84,30.86,30.08,34.27,31.75,28.4,41.63,48.86,43.81,57.56,49.49
FAM46A,6.63,3.23,7.65,32.94,12.81,3.69,6.4,1.14,1.06,8.86,9.24,2.5,1.02,3.11,11.74,4.35
FAM46B,17.44,8.08,2.02,4.62,6.08,5.61,16.06,15.13,15.63,7.22,8.98,9.66,0.65,0.45,2.83,2.6
FAM46C,0.11,0.1,8.81,9.37,8.42,0.59,3.96,1.48,1.78,0.39,0.58,10.64,19.04,1.92,0.08,1.78
FAM46D,0.0,0.0,0.0,0.0,0.09,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.28,0.03
FAM47A,0.0,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0
FAM47B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM47C,0.0,0.04,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.03,0.0,0.03,0.0,0.0
FAM47E,0.19,1.355,1.7,1.96,3.235,0.22999999999999998,1.0,1.345,0.96,1.5150000000000001,4.155,3.135,1.7950000000000002,0.8150000000000001,3.5,3.63
FAM47E-STBD1,1.94,3.46,3.0,6.19,6.44,1.97,6.88,5.21,2.52,4.17,7.59,7.2,2.64,3.15,8.36,13.88
FAM49A,0.16,1.92,1.5,0.46,0.07,3.82,3.86,1.58,0.52,0.15,0.58,0.07,14.23,6.95,1.5,3.44
FAM49B,82.68,74.04,39.77,61.8,155.83,129.6,132.82,95.1,44.14,150.51,88.33,113.07,148.14,54.0,107.45,99.62
FAM50A,127.64,67.65,44.32,107.59,88.72,50.28,77.74,66.17,76.04,64.23,139.02,76.89,63.77,90.17,127.53,51.73
FAM50B,21.23,4.99,4.12,11.5,3.51,7.82,24.07,11.59,7.28,12.54,15.24,0.0,0.05,16.02,11.53,4.96
FAM53A,0.22,3.3,0.92,1.16,2.96,2.82,0.27,2.6,1.74,1.55,1.69,1.77,1.37,1.22,1.45,0.73
FAM53B,12.35,8.37,6.38,13.25,9.06,14.64,10.39,10.34,6.05,8.06,44.45,10.32,12.86,28.13,9.72,7.3
FAM53C,20.88,38.94,11.57,22.25,23.08,29.34,20.48,19.05,33.71,33.69,35.19,19.3,12.03,37.21,32.93,21.68
FAM57A,12.2,10.45,4.13,11.66,10.53,12.94,4.66,14.8,5.78,26.38,24.5,2.01,5.05,15.98,17.22,16.37
FAM57B,1.7,0.2,0.23,2.19,1.72,0.78,0.2,0.33,0.84,1.66,0.81,0.58,1.06,0.12,0.77,0.27
FAM58A,33.48,13.71,17.32,20.03,22.99,19.73,23.55,25.28,6.31,11.29,46.24,15.89,42.0,33.44,57.61,34.18
FAM60A,30.65,46.33,28.18,20.8,57.79,29.01,24.26,96.9,11.8,38.16,53.92,25.4,25.92,60.07,50.6,39.3
FAM63A,4.26,10.54,19.62,22.61,37.92,8.22,19.51,4.94,41.09,3.52,10.61,17.08,36.18,16.37,4.52,13.27
FAM63B,5.77,2.67,3.63,2.02,3.85,7.31,7.84,5.7,2.29,11.5,5.9,3.01,4.57,4.27,2.83,5.5
FAM64A,64.28,21.03,4.99,26.23,13.17,60.2,31.78,21.13,15.74,47.54,34.77,32.1,23.82,34.77,48.79,40.02
FAM65A,32.49,12.08,3.84,13.91,23.42,60.14,33.75,9.29,34.49,19.18,31.81,9.81,18.97,27.44,36.33,24.43
FAM65B,0.06,0.05,0.09,0.0,1.5,1.93,0.53,0.01,0.01,1.36,0.02,2.43,0.01,0.33,0.05,2.51
FAM65C,0.32,0.14,0.64,1.02,0.7,0.38,0.04,0.28,13.34,0.82,0.28,33.41,5.49,0.33,0.79,0.09
FAM69A,5.35,0.94,1.77,0.9,2.61,0.98,14.89,1.22,1.7,4.1,2.02,9.0,3.39,1.84,1.96,12.51
FAM69B,13.1,13.95,3.95,3.75,13.8,3.31,0.81,28.59,5.33,2.92,8.74,3.39,13.41,31.67,20.14,2.22
FAM69C,0.02,0.0,0.07,0.17,0.01,0.0,0.27,0.01,0.0,1.02,0.0,0.0,0.0,0.0,0.29,0.02
FAM71A,0.0,0.11,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.11,0.0,0.04,0.08,0.07,0.0,0.07
FAM71B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM71C,0.01,0.03,0.0,0.0,0.12,0.0,0.01,0.04,0.07,0.0,0.03,0.02,0.03,0.0,0.03,0.04
FAM71D,0.28,0.05,0.14,0.17,0.12,0.14,0.03,0.11,0.16,0.06,0.13,0.07,0.16,0.08,0.19,0.09
