,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
AAR2,11.86,27.48,26.2,14.62,10.71,31.22,38.22,20.04,35.65,52.84,19.01,11.94
AARD,0.02,0.01,0.0,0.09,0.0,0.33,0.0,0.0,0.14,0.02,0.0,0.01
AARS,306.86,190.28,41.26,45.65,31.46,82.41,60.07,96.1,145.64,82.87,45.23,126.11
AARS2,11.78,9.84,5.94,3.57,9.81,12.35,11.81,7.32,14.37,6.78,8.12,7.88
AARSD1,79.48,55.21,18.83,27.99,64.38,44.06,44.93,61.96,53.31,34.82,31.01,46.13
AASDH,9.41,4.78,3.33,3.43,3.25,1.71,3.28,2.57,9.34,3.2,3.79,5.99
AASDHPPT,43.84,42.14,27.41,9.47,24.31,18.24,27.9,15.29,48.13,19.28,19.8,16.83
AASS,4.25,0.86,0.14,0.29,13.76,9.32,1.57,0.05,0.12,0.21,2.89,4.23
AATF,78.66,67.96,54.24,33.01,22.05,78.0,96.25,36.69,65.7,45.2,46.03,22.47
AATK,8.0,0.51,1.47,17.25,0.21,0.09,3.62,0.71,2.88,0.95,7.84,0.54
ABAT,0.97,0.79,1.08,1.16,1.71,2.98,3.12,2.39,1.99,8.7,5.4,0.95
ABCA1,0.17,0.33,0.22,0.11,0.03,2.89,1.78,0.11,1.16,1.63,0.76,0.88
