,T24,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
ARHGAP20,0.02,0.08,0.01,0.98,0.01,1.14,0.02,0.0,1.99,0.02,0.0,0.0,0.02,0.03,0.0,0.02,0.01,0.0,0.0,0.02,0.0,0.05,0.02,0.01,0.0
ARHGAP21,27.15,7.68,27.24,46.38,22.46,17.31,3.96,0.89,17.52,15.83,0.16,4.23,3.28,14.98,13.52,14.87,12.45,14.33,18.04,24.7,29.93,38.87,13.68,19.36,27.41
ARHGAP22,8.13,0.55,12.1,13.61,14.65,2.12,0.04,1.88,14.13,38.24,0.06,0.08,0.14,13.14,12.42,1.57,0.88,86.15,110.29,1.05,0.11,0.41,0.18,0.46,0.02
ARHGAP23,117.08,3.56,83.1,39.13,26.66,19.17,0.15,0.78,56.38,0.29,0.88,11.87,1.99,3.48,22.64,3.29,29.93,0.06,17.28,12.41,0.98,67.54,12.38,1.02,0.23
ARHGAP24,6.38,0.74,4.46,16.37,5.34,5.68,0.03,3.27,8.06,4.53,6.98,0.04,19.0,2.64,0.03,0.08,0.06,0.05,11.25,0.59,0.02,0.23,1.58,1.85,1.58
ARHGAP25,0.06,0.38,1.09,1.45,1.61,0.3,12.01,37.63,0.39,24.69,14.69,17.24,5.68,1.76,4.84,0.35,0.3,0.0,0.04,0.13,0.07,0.53,0.08,0.69,0.4
ARHGAP26,3.69,1.16,6.17,4.53,10.45,17.24,4.09,1.34,4.94,0.05,0.31,6.35,1.08,8.62,10.94,11.44,19.1,0.72,0.52,8.96,15.34,8.39,9.75,16.45,20.85
ARHGAP27,10.57,13.17,31.45,4.73,2.96,30.75,29.48,10.1,3.44,67.89,27.21,7.13,25.12,5.9,17.97,36.47,47.5,6.55,3.66,39.73,57.98,32.61,27.15,81.42,34.41
ARHGAP28,0.0,0.1,0.54,1.39,1.08,0.27,0.0,0.04,3.32,0.06,0.0,0.04,0.01,0.03,0.05,0.01,0.01,0.02,0.44,0.16,0.1,2.18,0.0,0.12,0.04
ARHGAP29,106.92,4.89,86.23,18.43,16.93,0.1,0.1,0.05,43.83,0.08,0.06,0.16,0.09,1.08,3.97,2.52,4.15,3.26,7.37,12.17,17.3,12.49,3.25,3.41,9.47
ARHGAP30,0.12,0.59,2.72,0.29,0.25,119.34,77.13,108.53,0.34,62.3,67.35,22.48,75.82,0.42,0.21,1.25,0.59,0.35,0.41,0.5,0.32,2.12,0.73,0.32,0.4
ARHGAP31,4.88,0.01,0.17,16.76,3.99,12.8,0.11,3.1,5.94,0.8,0.08,0.21,0.3,2.28,0.04,0.4,0.09,2.52,5.91,0.22,0.44,0.54,0.44,0.54,0.27
ARHGAP32,4.71,12.42,32.81,6.2,7.17,0.77,0.02,0.01,4.24,0.04,0.02,0.4,6.23,20.86,17.34,9.33,14.15,2.39,6.28,19.9,12.87,20.0,25.89,29.38,10.2
ARHGAP33,12.85,12.83,11.17,16.51,14.09,19.66,16.63,13.31,14.47,18.16,5.98,4.85,42.81,2.76,7.31,0.66,1.51,5.61,6.4,4.84,2.96,6.27,4.94,16.77,8.53
ARHGAP35,22.8,25.9,15.81,34.57,27.51,8.92,18.44,10.45,32.17,17.44,16.51,39.93,10.77,27.73,13.61,10.11,9.87,5.29,32.0,38.6,20.22,39.49,18.0,13.94,12.62
ARHGAP36,0.04,0.02,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
ARHGAP39,6.41,8.19,4.89,3.79,2.25,0.06,4.54,0.11,2.72,1.48,0.76,0.05,4.28,5.85,5.06,9.79,5.33,9.85,3.37,8.32,6.83,7.81,3.77,6.14,4.63
ARHGAP4,0.8,12.6,3.64,1.54,0.45,81.59,70.32,41.36,0.54,94.19,55.9,0.54,112.03,36.7,92.22,1.64,2.33,0.14,0.35,43.13,1.82,20.93,16.16,1.36,1.25
ARHGAP40,0.03,0.01,21.53,0.03,0.11,0.07,0.04,0.0,0.01,0.08,0.11,0.0,0.01,1.58,1.67,0.05,0.03,2.53,0.0,0.27,0.13,2.05,0.33,0.05,0.01
ARHGAP42,3.66,0.21,6.02,5.04,2.82,0.98,0.28,0.9,4.55,4.18,0.02,0.04,4.36,17.07,7.42,7.18,6.08,1.25,2.1,5.2,4.39,6.76,5.72,5.93,5.77
ARHGAP44,0.44,0.21,0.18,0.19,0.03,1.51,4.7,5.97,0.03,0.49,0.08,0.08,0.77,11.17,0.62,0.68,0.12,2.05,0.9,0.19,0.22,1.77,0.07,1.25,4.33
ARHGAP5,22.98,13.45,24.07,33.43,7.17,9.14,10.02,0.64,36.0,1.31,0.37,1.32,7.46,31.82,21.6,22.82,17.94,11.19,6.35,37.75,39.09,52.93,26.37,19.7,24.73
ARHGAP6,0.38,0.0,0.0,3.16,0.09,1.45,0.0,0.04,0.13,14.75,0.0,0.01,0.0,0.01,0.0,0.01,1.22,0.0,0.89,0.04,0.02,0.07,0.44,1.24,8.54
ARHGAP8,0.06,13.94,27.21,0.03,0.07,4.04,0.14,0.02,0.1,0.75,0.0,0.1,0.08,29.94,16.26,16.03,15.05,0.1,0.02,11.78,29.7,20.13,18.71,18.46,33.83
ARHGAP9,0.1,0.82,0.07,0.08,0.12,85.56,39.33,13.67,0.41,104.54,33.38,20.0,13.78,0.71,0.38,0.28,0.28,0.01,0.1,0.04,0.13,0.48,0.21,0.23,0.76
ARHGDIA,536.19,296.44,185.6,515.32,593.23,300.05,223.78,227.07,428.55,194.12,377.14,295.17,409.21,121.7,566.73,202.23,147.76,116.27,842.58,286.37,190.36,218.16,244.24,255.34,85.64
ARHGDIB,149.09,0.98,130.74,18.45,38.74,531.07,536.63,719.46,1.7,645.38,1184.6,878.53,441.12,3.55,8.32,7.94,8.46,0.2,4.8,9.97,54.3,11.52,8.98,3.68,1.2
ARHGDIG,0.25,0.46,0.29,0.5,0.12,0.2,0.04,0.0,0.0,0.19,0.0,0.0,0.06,0.0,0.19,3.05,0.67,0.11,0.1,0.54,0.03,0.71,1.98,1.2,2.43
ARHGEF1,58.94,61.98,62.91,53.43,67.79,155.15,86.24,91.26,43.62,109.84,102.02,41.77,120.07,123.09,27.81,27.2,44.03,60.26,56.9,49.68,25.62,49.09,32.39,73.64,41.65
ARHGEF10,24.09,5.02,18.93,33.93,18.54,0.36,0.08,0.09,25.32,12.97,0.07,2.59,0.65,29.54,8.68,0.21,7.03,10.15,16.49,4.95,7.63,1.04,9.78,4.84,7.53
ARHGEF10L,4.29,70.67,8.48,16.33,5.04,3.06,0.03,0.03,8.07,0.07,0.09,0.03,0.03,17.55,14.09,24.28,15.74,4.05,5.2,7.75,18.95,16.76,25.68,26.51,12.86
ARHGEF11,13.79,16.51,6.42,20.03,11.0,17.31,5.24,0.36,10.07,11.74,3.97,6.28,14.77,13.75,10.29,6.09,6.68,10.78,9.65,12.05,16.28,16.81,9.01,13.19,9.3
ARHGEF12,47.72,22.48,17.33,28.74,28.34,12.15,4.84,4.21,34.34,24.54,6.76,0.15,5.43,27.52,32.98,19.33,16.64,13.14,21.73,29.95,22.22,69.73,19.58,30.15,14.99
ARHGEF15,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.1
ARHGEF16,0.42,40.04,25.1,1.09,0.31,0.13,0.59,0.06,3.51,1.92,0.03,0.15,0.07,12.69,21.4,28.25,13.35,8.74,0.06,17.94,19.99,41.87,29.04,26.74,17.05
ARHGEF17,35.89,3.78,62.35,14.92,9.43,2.15,0.15,0.01,39.27,0.54,0.28,13.36,0.1,6.34,2.02,1.81,6.72,3.55,19.39,2.15,3.08,28.12,0.77,5.26,2.31
ARHGEF18,21.95,17.41,17.51,26.31,18.5,20.58,21.16,11.09,21.07,15.21,16.81,19.92,28.15,9.7,10.54,9.41,7.29,6.99,25.42,14.19,14.13,12.71,7.82,13.44,5.23
ARHGEF19,10.53,5.02,25.91,4.56,1.16,2.3,4.27,1.5,6.54,7.7,1.93,4.28,1.86,4.13,5.93,5.6,3.92,3.73,0.09,8.09,10.64,34.75,3.89,15.48,6.8
ARHGEF2,32.79,26.96,47.08,91.97,38.5,66.07,58.12,67.27,68.98,141.39,76.59,132.51,92.06,120.69,35.17,54.78,22.98,22.61,44.06,26.71,28.5,20.7,25.34,29.66,34.05
ARHGEF25,8.04,12.58,0.89,8.05,4.19,14.03,1.38,3.92,18.8,0.45,0.08,0.03,1.33,0.18,6.25,0.05,0.11,0.0,16.37,0.39,0.03,3.86,0.13,2.8,0.1
ARHGEF26,3.38,5.43,0.56,8.72,2.05,0.15,0.77,16.02,7.34,0.03,0.08,0.01,0.1,7.14,1.19,2.24,3.5,0.48,2.91,1.08,4.9,5.68,3.3,4.54,1.04
ARHGEF28,20.27,2.22,11.6,5.38,10.08,0.19,0.04,0.17,10.14,0.05,0.15,0.2,0.03,1.61,2.9,8.39,5.99,12.82,9.66,2.2,1.86,12.28,0.38,8.09,2.39
ARHGEF3,0.7,3.42,5.13,15.79,7.52,16.69,22.4,12.21,11.14,0.98,7.12,0.98,7.9,19.66,12.64,3.82,5.21,1.63,0.94,8.95,6.21,5.91,5.54,5.27,3.35
ARHGEF33,0.01,0.11,0.15,0.03,0.07,0.07,0.06,0.01,0.03,0.08,0.01,0.03,0.06,0.01,0.02,0.0,0.0,0.04,0.05,0.12,0.01,0.07,0.12,0.06,0.11
ARHGEF35,6.14,15.84,17.36,0.14,0.88,1.37,6.57,0.06,0.02,0.05,0.07,0.09,0.05,1.19,37.97,8.76,13.52,1.43,0.04,33.61,21.86,27.21,30.7,26.12,9.49
ARHGEF37,0.28,1.33,20.43,9.34,0.55,0.1,7.76,0.05,1.53,0.07,0.96,0.06,0.03,8.26,0.39,4.42,6.44,0.05,0.02,2.37,2.99,14.06,0.19,2.68,0.19
ARHGEF38,0.02,0.44,0.12,0.11,0.0,0.1,0.16,0.0,0.0,0.1,0.03,0.06,0.08,0.18,1.48,2.82,1.91,0.0,0.0,3.18,1.94,0.38,2.12,5.2,12.12
ARHGEF39,8.03,5.75,20.28,6.44,3.53,5.66,17.18,9.29,5.88,6.52,16.65,5.84,5.93,8.56,11.67,13.5,13.89,3.8,5.46,13.38,10.6,46.91,6.99,21.23,20.78
ARHGEF4,0.41,1.67,118.99,2.83,0.17,0.02,0.03,0.0,0.61,0.12,0.04,0.05,0.05,12.71,3.5,0.69,4.32,0.04,0.32,8.71,5.02,14.23,2.48,2.98,13.01
ARHGEF40,12.99,1.75,17.47,34.89,13.11,0.23,0.03,0.03,31.77,4.81,0.88,12.77,2.41,2.43,1.46,11.62,0.75,7.52,44.74,4.58,2.55,1.48,1.57,13.87,0.13
ARHGEF5,5.67,13.77,20.28,0.65,1.46,2.97,10.53,0.02,0.06,0.02,0.06,0.05,0.07,17.03,21.5,17.2,14.23,5.78,0.12,24.74,21.57,29.79,18.29,27.35,10.17
ARHGEF6,0.23,0.13,0.16,35.63,7.93,8.5,15.26,14.31,5.04,154.3,24.22,48.12,32.58,0.4,0.0,0.48,0.2,0.1,0.82,0.07,0.02,0.26,0.05,0.03,0.03
ARHGEF7,22.61,14.61,33.43,30.03,22.93,27.31,51.73,20.15,11.7,27.56,29.05,20.82,71.35,30.56,32.8,22.17,14.25,14.27,23.36,14.74,12.75,14.88,22.75,52.34,16.01
ARHGEF9,6.11,6.82,5.33,17.14,6.13,9.48,1.14,3.91,5.98,11.18,8.64,1.97,11.05,2.7,7.62,6.55,2.27,3.34,8.24,4.1,12.25,4.03,3.04,5.02,0.05
ARID1A,44.85,22.69,26.77,27.46,22.48,39.91,69.08,40.21,28.25,72.73,37.27,37.39,67.76,20.49,33.62,18.1,10.33,12.81,25.52,27.92,21.64,38.15,23.67,22.57,30.25
ARID1B,13.84,6.62,4.7,20.95,10.26,17.18,26.22,15.11,17.06,18.1,14.05,15.4,33.96,17.01,13.86,7.55,13.33,4.55,7.73,14.98,14.05,19.86,12.41,11.69,8.9
ARID2,7.65,4.67,4.8,5.47,5.53,5.15,11.02,9.85,7.8,11.68,9.44,9.19,39.0,10.71,10.18,4.87,5.85,7.36,3.47,6.79,7.8,10.08,4.63,7.46,7.23
ARID3A,8.59,13.34,4.43,6.1,3.19,44.98,8.66,3.46,14.42,42.96,12.87,22.57,33.34,4.69,13.07,3.95,10.07,6.03,22.08,10.81,25.28,6.7,21.18,12.22,1.24
ARID3B,7.11,11.69,12.95,1.46,3.19,29.94,11.63,1.33,2.38,30.88,5.95,13.06,4.93,5.55,5.48,2.24,6.25,3.82,2.58,5.62,8.25,6.03,5.72,3.66,5.15
ARID3C,0.0,0.04,0.0,0.14,0.25,0.08,0.01,0.0,0.09,0.16,0.0,0.15,0.0,1.67,0.13,0.0,0.02,0.0,0.04,0.07,0.01,0.0,0.15,0.07,0.04
ARID4A,8.79,3.54,10.21,6.62,2.8,6.61,18.33,8.49,7.4,8.0,12.78,10.63,13.01,12.11,6.45,3.02,6.26,3.79,1.84,6.96,7.49,13.32,5.6,9.01,10.29
ARID4B,11.24,9.47,9.21,14.44,10.5,16.56,10.85,17.42,12.08,17.16,12.16,9.31,33.62,16.52,11.29,7.29,5.7,7.41,4.41,15.12,9.42,18.51,9.58,13.91,18.69
ARID5A,2.93,3.38,10.18,8.73,9.94,64.28,0.81,10.67,20.38,18.11,2.23,24.59,23.95,6.57,3.76,2.74,1.89,3.23,7.77,2.5,4.63,3.21,15.87,8.07,2.12
ARID5B,3.92,1.52,4.21,20.64,5.19,5.16,0.19,3.21,13.61,0.03,0.03,0.28,4.49,4.59,3.41,6.37,3.5,0.08,4.22,3.35,12.42,13.99,5.38,6.13,2.98
ARIH1,23.75,15.26,22.36,22.64,16.41,20.45,28.5,19.22,21.59,26.52,22.51,17.78,27.57,37.62,19.91,10.09,13.46,13.37,13.21,22.51,21.07,30.51,15.94,11.97,15.48
ARIH2,44.86,22.37,40.35,68.98,51.97,40.51,88.57,57.63,54.45,69.9,67.73,37.87,66.93,65.53,66.25,79.19,23.06,65.68,51.66,78.75,72.05,39.84,40.01,48.5,62.99
ARIH2OS,0.6,0.73,1.45,1.59,0.42,1.06,1.11,1.26,1.25,1.79,0.64,0.24,0.77,1.15,1.01,1.15,0.18,0.54,0.72,1.24,0.96,0.64,1.13,1.21,3.38
ARL1,50.86,51.96,52.39,51.86,67.28,35.31,49.48,31.82,59.65,21.22,31.51,50.4,27.63,67.43,30.76,30.17,19.24,55.44,42.22,48.68,58.12,89.12,41.29,31.38,67.82
ARL10,2.57,0.72,6.36,6.14,0.62,4.09,1.45,0.65,0.01,0.86,0.59,0.73,2.06,0.21,3.03,0.13,3.73,0.81,0.44,0.05,0.18,2.23,0.07,0.42,0.02
ARL11,0.01,4.13,0.04,0.0,0.01,5.73,1.52,8.59,0.0,5.51,15.52,8.72,7.64,0.01,0.0,0.14,0.01,0.0,0.01,0.0,0.04,1.31,0.0,0.06,0.0
ARL13A,0.07,0.02,0.19,0.0,0.41,0.11,0.04,0.0,0.23,0.07,0.0,0.04,0.05,0.0,0.13,0.0,0.0,0.07,0.05,0.0,0.08,0.0,0.0,0.02,0.05
ARL13B,17.13,5.09,10.19,20.15,11.86,4.22,9.13,3.81,6.43,4.91,4.0,5.3,5.66,5.28,12.86,6.89,2.29,8.55,4.58,6.99,2.68,13.02,2.24,4.47,6.68
ARL14,0.17,0.34,4.21,0.08,3.52,0.2,0.8,0.0,0.16,0.0,1.52,0.02,0.05,0.09,0.26,25.08,31.69,0.06,0.0,3.73,7.57,0.79,8.06,18.01,4.15
ARL14EP,20.35,9.79,11.65,13.08,12.31,18.4,31.26,34.36,12.8,12.13,17.33,9.98,27.2,29.0,14.7,16.34,6.76,18.72,15.15,13.63,16.06,23.21,10.12,14.47,12.51
ARL14EPL,0.16,0.0,37.77,0.01,0.82,0.0,0.0,0.0,2.02,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.05,0.0,0.02,0.2,0.08,0.0,0.0,0.0,0.12
ARL15,11.87,9.26,4.01,9.94,9.04,2.64,2.0,11.8,18.55,16.2,4.91,2.28,5.19,6.62,11.73,9.56,6.22,5.92,2.3,1.81,2.68,8.98,9.99,7.47,7.4
ARL16,52.92,54.04,61.09,36.07,46.71,26.82,43.03,25.61,58.82,42.59,16.96,46.74,56.11,31.24,45.57,20.09,17.18,42.01,72.7,42.13,37.95,52.97,18.99,14.63,61.04
ARL17A,11.04,6.51,18.22,7.97,11.81,17.37,14.5,8.14,10.88,10.96,12.81,10.34,12.65,5.01,15.05,7.56,11.11,6.27,4.87,4.72,12.67,20.02,1.65,17.05,5.7
ARL17B,10.8,3.12,5.36,6.27,8.76,7.22,5.55,7.12,11.12,3.86,3.63,3.35,4.21,4.04,5.02,2.6,6.14,1.18,6.7,1.55,13.21,17.32,1.45,16.7,1.54
ARL2,162.34,53.72,94.36,109.89,82.88,84.69,15.27,37.38,181.16,48.57,47.16,119.9,37.29,57.54,61.46,60.71,28.42,29.12,301.13,80.58,43.05,58.58,51.87,38.52,56.42
ARL2BP,48.5,17.68,25.25,52.02,66.56,14.42,29.67,26.48,52.97,25.23,26.96,31.72,24.51,37.86,30.02,15.65,7.52,40.87,35.82,29.59,19.38,34.47,20.91,15.37,10.35
ARL3,14.45,8.2,5.89,12.48,13.54,8.42,13.2,9.74,24.05,3.75,11.06,7.32,11.51,3.25,9.81,3.49,2.31,13.3,16.71,6.98,2.6,13.68,5.17,5.08,8.21
ARL4A,11.19,23.85,14.85,48.09,102.59,4.87,10.18,6.07,29.04,37.31,0.01,31.03,0.08,58.37,101.8,32.92,41.35,11.17,12.23,114.63,44.69,15.02,71.97,47.56,31.67
ARL4C,57.72,4.77,14.03,38.54,19.54,5.71,0.2,7.27,20.87,0.09,0.04,0.2,3.12,12.83,1.79,3.47,10.97,0.05,147.87,74.06,12.82,19.91,6.54,15.52,9.26
ARL4D,8.23,4.76,36.99,27.93,35.34,1.41,2.42,1.69,17.85,1.44,0.06,2.74,1.7,0.68,3.26,1.33,0.56,0.0,27.17,25.77,0.62,5.49,0.42,2.12,1.67
ARL5A,16.1,30.25,10.56,19.99,19.47,23.27,24.13,31.37,21.27,19.28,43.3,37.5,52.0,38.09,27.17,31.39,15.46,29.16,15.31,34.63,34.99,36.97,26.5,34.86,24.05
ARL5B,5.43,9.32,6.25,5.13,4.1,7.01,12.87,9.32,4.39,6.68,6.96,3.12,7.74,9.39,6.8,9.81,4.74,11.05,1.97,7.78,11.49,15.96,7.04,6.77,12.94
ARL5C,0.01,0.04,0.01,0.04,0.03,0.18,0.05,0.05,0.0,0.1,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.41,0.0,0.0,0.01
ARL6,4.66,5.75,3.88,5.68,9.04,4.64,15.86,4.05,2.46,0.95,5.03,3.5,1.79,1.69,4.96,2.6,1.15,7.44,2.64,4.79,2.81,5.33,2.33,2.41,5.48
ARL6IP1,318.36,153.35,170.74,246.0,488.95,76.65,255.68,84.64,296.77,204.05,190.75,110.7,182.53,148.08,179.09,186.25,132.53,90.52,175.67,282.94,195.4,436.25,258.43,151.04,175.38
ARL6IP4,248.69,107.61,142.08,147.1,131.96,159.95,182.39,171.87,210.17,285.35,156.9,237.27,169.12,110.89,146.62,164.23,89.91,110.4,186.16,144.49,149.43,182.44,100.84,99.98,251.23
ARL6IP5,29.68,17.61,70.16,92.5,87.62,96.43,15.12,41.49,33.4,22.17,13.64,25.86,18.56,22.36,24.05,52.23,27.37,25.05,41.97,38.91,73.74,29.84,47.64,79.1,57.65
ARL6IP6,30.33,20.21,24.3,28.51,25.73,8.84,11.98,27.63,35.38,26.41,25.73,21.48,43.84,13.02,22.53,16.88,12.51,10.28,13.69,21.43,22.99,49.27,26.69,32.66,27.74
ARL8A,21.91,18.55,14.74,40.47,21.02,26.45,27.53,16.32,22.4,36.27,14.86,15.93,32.28,28.01,14.54,17.4,11.05,9.84,24.54,22.35,17.13,23.04,24.35,22.64,3.32
ARL8B,30.69,14.94,27.14,74.77,37.61,30.48,34.29,24.7,47.85,39.7,34.96,39.88,34.96,34.46,27.84,30.25,17.89,40.44,55.45,50.24,21.92,22.97,31.15,28.74,26.25
ARL9,0.0,0.05,0.02,1.32,0.2,0.02,0.03,0.1,0.04,0.07,0.0,0.02,0.1,0.0,0.05,0.04,0.0,2.47,0.0,0.0,0.01,0.0,0.02,0.02,0.08
ARMC1,30.93,7.77,16.7,29.55,32.55,16.22,28.39,22.53,29.37,18.65,32.61,19.69,28.78,22.06,20.63,24.53,13.49,25.36,20.55,13.88,11.57,34.6,17.96,20.3,26.29
ARMC10,19.83,14.66,18.94,28.91,31.93,13.98,29.16,26.8,20.35,20.0,36.18,48.06,34.5,62.93,30.4,41.55,32.37,51.07,33.22,38.68,47.57,35.0,41.44,48.42,29.56
ARMC12,0.1,1.45,0.21,0.11,0.02,0.21,0.16,0.34,0.09,0.39,0.54,0.25,0.68,0.0,0.1,0.0,0.03,0.04,0.0,0.0,0.01,0.19,0.1,0.13,0.17
ARMC2,1.98,1.69,1.68,3.08,2.34,0.29,1.36,1.81,2.47,3.4,0.42,4.41,1.76,1.78,2.16,4.57,0.3,0.64,1.83,0.74,1.98,2.57,0.76,1.62,0.75
ARMC3,0.0,1.08,0.0,0.22,0.02,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.17,0.01,0.0,0.0,0.17,0.0
ARMC4,0.19,0.02,0.02,1.87,4.24,0.01,0.0,0.0,5.89,0.2,0.0,0.4,0.08,0.0,0.34,0.0,0.35,0.0,1.63,1.13,0.0,0.18,0.19,0.32,0.0
ARMC5,10.14,12.27,6.01,5.88,8.81,7.8,6.41,4.7,6.17,18.78,2.62,24.71,5.95,8.53,11.47,4.46,3.44,4.38,4.83,9.04,7.45,8.24,5.36,2.42,2.84
ARMC6,36.27,12.69,16.5,32.84,46.56,23.43,82.24,52.19,24.66,40.38,45.73,45.21,47.16,30.01,49.13,29.78,12.88,21.73,45.72,32.27,23.58,15.59,25.13,25.02,22.4
ARMC7,17.29,18.36,9.07,9.11,14.54,10.26,10.43,6.85,9.19,12.44,8.18,9.37,7.49,7.36,17.42,10.76,11.18,3.98,8.43,14.09,12.6,21.3,10.96,8.15,6.1
ARMC8,23.47,10.35,18.74,20.54,21.18,22.08,26.51,18.85,27.01,34.41,21.88,25.78,26.12,35.55,16.72,14.29,10.18,14.17,17.33,23.69,17.72,30.58,9.79,13.87,10.99
ARMC9,10.52,2.75,5.22,48.59,27.39,6.58,8.38,1.61,46.75,0.81,22.92,5.56,2.45,18.95,7.64,10.48,3.61,6.95,27.39,7.52,2.7,12.04,2.14,5.3,3.99
ARMCX1,0.14,0.07,0.94,32.85,5.59,0.64,0.02,0.0,10.01,4.97,0.0,0.07,0.05,0.14,0.1,0.04,0.01,0.24,21.86,0.36,0.2,0.24,0.03,0.02,0.02
ARMCX2,2.92,0.43,0.59,38.27,6.38,1.85,0.05,0.02,0.02,0.04,0.15,0.05,0.94,0.31,0.42,0.14,0.11,0.19,1.06,0.26,0.06,4.55,0.11,0.1,0.05
ARMCX3,23.43,28.54,27.46,81.01,38.08,23.74,17.01,8.85,25.42,23.66,12.01,0.15,18.09,45.58,17.56,6.44,4.06,19.48,24.63,6.34,0.24,33.3,0.95,5.97,0.1
ARMCX4,5.67,0.88,0.57,4.36,1.05,2.7,1.26,0.0,2.46,6.55,1.3,0.98,0.18,0.06,10.65,0.04,0.13,4.0,4.96,0.51,0.23,4.13,1.86,0.88,0.0
ARMCX5,9.06,9.2,5.31,8.81,6.95,7.08,0.02,0.07,6.25,10.93,0.01,0.84,0.66,13.33,11.94,3.16,4.06,6.36,4.24,6.62,11.19,9.11,6.73,3.54,9.06
ARMCX6,73.25,20.91,16.83,66.86,40.7,28.25,39.39,17.22,30.42,47.42,16.41,0.29,49.58,44.77,39.2,8.05,3.52,29.94,69.83,8.18,3.46,33.12,0.47,4.69,0.04
ARMS2,0.0,0.0,0.16,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.73,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
ARNT,21.9,33.08,15.08,34.53,18.96,20.97,28.1,29.05,18.21,33.26,14.27,11.75,26.82,10.28,12.56,6.18,3.22,7.28,21.14,11.29,11.65,21.0,8.91,12.47,15.49
ARNT2,1.35,0.23,0.86,8.92,0.6,0.1,0.05,0.04,15.8,0.08,0.01,0.09,0.03,0.11,8.75,0.44,0.07,2.01,17.09,1.39,0.03,0.22,0.07,0.06,0.06
ARNTL,9.32,12.43,8.89,13.81,9.33,9.8,1.82,0.1,8.75,6.19,0.12,1.62,4.33,3.17,4.71,16.27,5.44,4.74,8.09,4.2,6.34,9.03,6.51,10.1,6.2
ARNTL2,45.71,45.19,37.98,13.01,19.72,34.37,0.57,0.09,26.56,5.87,2.12,13.65,13.32,28.6,20.49,25.35,6.92,33.9,20.93,8.36,42.58,32.97,4.21,5.69,7.43
ARPC1A,164.83,81.57,74.51,181.74,218.91,29.55,49.51,54.68,206.56,46.82,98.87,54.63,65.43,70.78,67.99,126.24,58.46,142.2,378.77,136.31,106.15,103.69,133.63,145.89,95.62
ARPC1B,301.31,177.63,185.2,306.67,464.38,803.65,244.9,368.61,318.25,358.18,409.58,503.02,140.61,116.0,205.28,230.94,129.66,178.61,365.39,331.69,310.95,176.32,228.55,184.3,117.93
ARPC2,470.76,135.36,272.48,380.93,321.29,493.98,490.47,540.81,374.16,317.6,575.04,525.95,175.32,150.99,195.52,290.07,178.62,260.92,560.58,246.09,260.93,268.11,249.06,307.52,191.74
ARPC3,386.1,304.28,279.56,257.38,370.7,346.59,475.1,338.1,338.92,304.37,519.56,601.82,308.63,140.81,364.53,379.06,171.74,298.54,295.43,291.46,447.94,338.96,333.38,369.21,276.65
ARPC4,194.25,204.2,71.45,227.31,196.36,268.12,195.52,111.8,115.2,193.39,291.88,154.77,125.18,132.93,168.97,204.22,67.53,114.82,317.57,234.12,105.62,73.02,149.67,176.48,118.52
ARPC4-TTLL3,12.28,16.08,12.23,15.76,17.56,35.33,38.21,18.0,28.51,42.04,34.3,28.52,35.65,8.04,15.54,15.6,9.84,27.62,8.42,13.14,12.65,7.09,9.32,13.43,14.23
ARPC5,225.4,129.93,68.09,307.17,155.88,290.97,170.86,152.19,159.91,200.5,80.41,73.48,254.86,72.46,126.19,119.82,47.41,64.69,159.11,73.73,89.67,137.41,125.1,121.37,80.34
ARPC5L,99.89,47.87,53.46,77.97,70.08,131.56,79.34,92.86,75.26,58.82,100.7,53.49,77.2,58.82,69.1,71.84,27.86,122.81,70.78,78.55,94.15,77.98,75.49,67.25,50.01
ARPP19,117.27,42.01,43.49,85.58,53.49,66.99,84.84,67.52,59.47,57.06,69.13,45.82,76.68,82.5,55.32,32.78,21.38,67.89,48.39,59.47,50.96,57.69,44.6,35.07,41.31
ARPP21,0.07,0.0,0.04,0.17,0.0,0.0,0.03,0.12,0.07,7.56,21.21,0.01,49.14,0.06,0.0,0.01,0.18,0.0,0.1,0.07,0.01,0.54,0.0,0.0,0.0
ARR3,0.06,0.0,0.06,0.02,0.06,0.17,0.05,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.05
