,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,C12orf77,ARID5B,AC009977.1,AC009065.1,AC024257.1,ADA,ANKRD12,AC026407.1,AP001024.1,ADPRHL1,ARRB1,ABCF3,ARHGDIA,AC023590.1,AC010336.1,AC012215.1,AC006116.20,ABCF1,BCS1L,ARHGAP36,ACTRT3,ACSM1,AC114494.1,AAAS,ARF5,AL590714.1,CD300C,AMPD3,AC092964.1,AC008964.1,AL354993.1,AC099344.1,ALDH1A1,ANGEL1,AC006547.14,AC016752.1,ABCA6,ADAMTS6,AGAP9,ALDH3B2,AC007965.1,ACPT,AF131215.5,AC092850.1,AL109659.1,ARHGAP12,AP000322.53,AC073063.1,ARSH,ABCA7,AC064874.1,AQP2,ABI3,AC004076.9,ANO10,AL160274.1,AK8,AC004017.1,ABCC12,ABCA8,BTBD8,ACSF3,AC007040.11,AAED1,ABCA6,ACBD6,AP000349.1,ABI2,AC117834.1,ACIN1,AASDH,C1QL3,AC018867.1,AAMP,AC006435.1,AC016559.1,AC016757.3,ATG4A,AC026461.1,AC106017.1,ABCG1,ABCC1,AL121901.1,ACAT2,AC079612.1,AGT,BBS1,A2ML1,AC017028.1,AC002310.13,AC139100.2,ANKRD11,ADAM20,A2ML1,AC012067.1,APOBEC3H,ALDH3B2,ABHD17C,AC061975.10,ACOT11
1,C1orf116,ARPC4,C14orf132,AC132192.1,ANKRD42,BMPR1B,ASAH2B,ALDH1B1,BEX2,AL049747.1,BEND7,AC016722.1,ATG9B,AC106873.4,ADCK3,AC026461.1,AC022431.2,C1orf54,BOLA1,ASB12,BAIAP2L1,AL627309.1,B3GNT8,ARMC8,BUD13,C2orf61,CENPC,ANO10,C1orf170,ADAMTSL4,ARHGEF33,ADAT1,ALDH4A1,C8orf4,AC110619.2,ADRB3,ALDH1A1,BRD9,ALPK3,ANXA2R,C4orf27,CAPN5,BAIAP2L1,AC099344.1,APOO,CREG2,AQPEP,AL139147.1,ATCAY,AHCYL1,AL136376.1,CCNG1,ABLIM2,AC021860.1,ANP32B,ARPP19,ANGPTL4,AL117190.3,BRMS1L,AC007952.6,CCDC117,CA5B,AC073657.1,ABCB1,ACSM3,BSDC1,ARHGAP22,AL121901.1,ACAD9,ALX1,AQP12B,C3orf70,AC104057.1,ACIN1,ADO,ADCK1,ACTL6B,BAAT,ACADVL,ARCN1,ABCG2,AC110771.1,AP000758.1,ACHE,ALPL,ALOX5AP,BCHE,ACTN1,ADAMTS20,AQP3,AGK,CSPG4,ANKRD10,ATL2,AC226150.4,AVIL,ARMC6,AIP,AP001579.1,ACSBG2
2,C6orf223,B3GALT1,CCKAR,CEPT1,BAG1,CCR8,ATAD5,BHMT2,CCDC94,ANKIB1,C19orf70,AP001816.1,C17orf78,AL158091.1,AKR1C3,ANXA5,CABP2,CBLN1,CACNA1F,BTNL8,BRINP2,ATG7,BRS3,ASNSD1,CBLL1,C5orf38,CS,ASB12,CAD,AGXT,C14orf93,AL031320.1,ANKRD12,CCDC62,BAIAP3,AL359736.1,CCDC83,C22orf26,ARHGAP1,AP000708.1,CYTH4,DTX2,BRD4,ACOT8,CA12,DAOA,BEND5,ANXA8,C17orf78,AMTN,BAIAP2,CDKN2AIPNL,AC008267.1,ACER2,BCOR,BASP1,ANKRD28,ANGPTL4,CCDC43,AC010760.1,CCNT1,CD22,ANKRD46,ACOT9,ADAP2,C9orf66,ARHGEF19,BTBD9,ATP8A1,C1orf53,C10orf107,CCDC104,ANXA4,AIP,C11orf82,APOBEC1,ADK,C10orf128,AMICA1,ARL11,AC106017.1,ADAT2,ASF1B,BRD9,ANKRD63,ARHGEF35,BMP10,AHR,AJAP1,ARID1B,ALDOC,DBNL,ASGR2,BLVRA,BTBD19,C14orf105,ATAD5,C10orf82,ASTE1,C17orf47
3,CLTA,C6orf222,CLDN22,CLEC4G,BRPF3,CEP68,CCBE1,CHI3L1,DIEXF,ANKRD62,C19orf81,APOBEC3H,CHRAC1,ARL6,ALG10B,APOC3,CCNYL1,DNAJB12,CATSPER1,CEP57L1,C17orf102,BPI,CNPY2,C19orf73,CDH16,CDC25B,DAPK3,AURKC,CHGB,ANKRD26,CCDC80,ALG10B,DCD,CCND3,BTNL2,AL390778.1,CDK5RAP2,CHRDL2,CCDC144NL,AP1B1,DAZ1,FLOT2,DOCK7,ATP13A3,COX17,DARS2,CEND1,C1orf110,C3orf72,ANXA4,CBX5,CRMP1,AL133481.1,AL117190.2,CACNG5,BLMH,ATAD2B,BX088651.1,CMTM7,BLOC1S6,COBL,CHRNB2,ATP2B4,ALDH3A1,ADRBK1,CDHR2,BAZ2A,C12orf54,CA2,C22orf34,C1orf172,CDC25B,AOX1,C11orf70,CACNG8,ARHGEF9,ARHGEF7,COMMD3,APOA1BP,C3orf49,ADAMTS7,AKAP11,CAND2,CCDC101,C10orf11,CASP8,C4B,C2,ARHGDIA,ARID4A,ATP6V0E1,HADH,ASIC2,C1orf21,C12orf4,C4orf48,ATG16L2,C11orf34,DTX3,CABYR
4,CRTAM,C6orf47,EPM2AIP1,CMTM8,C8orf58,CHRNB3,CCDC42,CLEC14A,DKFZP434O1614,B3GNT7,CABP4,AVPI1,COL4A6,B3GNT3,BNIP3,ARL10,CLDN10,DUSP4,CHUK,CREB3L3,C7orf55,C5orf58,CRHR1,CAPSL,CST9L,CRKL,DYDC1,B3GNT9,CYP1A2,C20orf196,CD1B,ANKS1B,DSG1,CD74,C17orf74,C11orf21,CYP26C1,CLDN14,DUSP5,ARHGEF35,DCAF4,HLA-A,FAM170A,C19orf82,CSN1S1,FUT5,COL20A1,C9orf24,CLIP2,AP000295.9,CD81,CYP4F22,ARHGAP11B,AL133481.1,CDK12,CACNA1C,C12orf61,C12orf68,EGLN1,CAMLG,CYP2A13,COX6A2,CA2,APOE,AL359195.1,CDK11B,BPIFA2,CDH1,CTDSP2,CCDC141,CCL19,CERKL,C1orf137,CCDC103,CBL,ATP6V1E2,ATF6,CPLX3,BX649567.1,CDH6,AP3S1,BASP1,CCDC50,CORO2A,C18orf25,CENPW,C5orf48,CALR,BCAR1,BCL11A,BANK1,HSF1,C15orf26,CEP350,C1QTNF4,C5orf48,BRIP1,C11orf72,ENTPD5,CCDC96
5,FAM150B,C9orf169,FHL1,COCH,CCL13,CLEC6A,CDH7,CLUL1,DPM1,BMPR1A,CIZ1,BOK,CXorf30,C7orf57,COL8A2,BAG1,CUZD1,GPR89C,CRIM1,DDI2,C7orf65,C7orf57,FAM200A,CLP1,DAG1,CRYGD,EIF3L,CAV2,ERCC8,CDR2L,CDC42BPG,ARID2,ECSCR,CTNNBL1,CTSD,C19orf71,DHX32,DERL2,DYSF,C5orf47,F2,LMNB2,FANCF,C20orf195,CTC-326K19.6,GLIPR1L2,CTBP2,CACNG1,CXorf31,C11orf70,CKS1B,DOT1L,CCR8,ALAS2,CHAMP1,GAGE12E,CDCA7,C1orf50,FAR1,CCNY,DUOXA2,DCHS2,CDRT15,ATP6V0A2,ATF6B,CEP250,CD200R1,CLEC2L,DDX52,DGCR6L,CCT6A,CLEC4G,C3orf52,CDRT4,CPQ,CAPN3,C11orf71,DUOXA1,C1orf51,CDK18,BOLA1,BRS3,CNTN5,CREG2,C9orf78,CNKSR3,CCDC85A,CASQ1,C10orf126,BRD4,C10orf10,ITGB2,C8orf76,CORIN,C2orf81,C7orf72,CRISP3,C16orf46,EPS8L1,CLEC18B
6,FBXO39,ECHS1,GRN,DLK2,CCNK,DBX1,CPA1,CSMD1,EGFL7,CAMSAP3,FZD9,BROX,DMC1,CA10,CYP8B1,C17orf85,DNAJC21,HAL,DPY19L4,DNAH6,CCS,C9orf117,FBF1,CRTAP,DIRC1,CYP20A1,FAM19A2,CRY2,FAM58A,CTSL,CTCF,C1orf111,EYA4,CWC25,DPH3,CNNM1,FAM118A,F9,EI24,C6,FAM104B,LRRN4,GMEB2,CFHR5,CTD-2210P24.4,HECW2,CTC-429P9.4,CCDC153,DENND3,C4orf17,FCAMR,GFRAL,CPEB2,AP001024.2,CR769776.1,HLA-DRB1,CHD9,CAPG,FUT9,CD200R1,EAF1,DDX47,CHMP5,BAIAP2L2,FAM161B,DCP1A,CDH11,CORO2A,ETV7,DNAJC21,CDK8,CLMP,CD70,DPYS,DACT3,CHRND,C1orf167,F2RL1,CYSLTR1,CISD2,CCDC34,BX842679.1,CYP2W1,CRISPLD2,CCL3,ECE2,CLPS,CDC42EP1,C17orf112,C6orf211,C14orf166,KHDRBS2,CCDC63,CTSE,CA2,DNAH11,DEFB119,C2orf16,GCM2,DNLZ
7,GPR85,GINS2,GUCA1C,DUX4L7,CDH17,ERI3,DHRSX,DCAF12L1,FAM162A,CCDC112,GAGE13,CEP97,DNAH7,CTSA,DYNC2H1,C20orf195,DNMT3B,HERPUD2,ELSPBP1,FAM205A,CLDN1,CLIC6,FBP2,DNAAF3,DNAJB11,DCDC2C,FTSJ2,ENTPD3,HAVCR1,CYP2U1,CTD-3148I10.1,CARD17,FXYD6-FXYD2,GDF15,ETV2,DYNC1I1,FAM160A2,FAM161B,GNG8,CCDC132,FAM115A,MBIP,GPR116,CLSTN2,GAR1,KIAA2026,CTC-512J12.6,CCDC90B,FCHSD1,CALB2,GCFC2,HPCAL4,CTAG1A,ARID4A,CTR9,HSD11B1L,CREB1,CCR10,GALNT11,COX7C,ELP6,DOK5,CNFN,C12orf65,GPC4,FRG1B,CLOCK,CORO7-PAM16,EXD2,EIF3CL,CTC-349C3.1,CMKLR1,CDIP1,GABRD,DCAKD,DNAAF2,CRYZL1,FAM195A,DAPK3,CYB5R4,CCDC96,COPS7B,DLL4,DNAJC14,FAM126B,FRG1,DGKI,CLPTM1,C9orf131,CDH26,C1QC,LMNA,CDC40,DEPTOR,CACNG8,FASTKD5,FAM76A,DEDD2,GLIPR1L1,EDEM1
8,HLA-A,GNPDA1,INPP4A,FXR2,EXOC6B,FASLG,DUOXA2,FAM19A5,FUT8,DKFZP434E1119,GHR,CR2,GAREM,DBNL,EPCAM,CAPN2,FAM211B,HGSNAT,FBXO27,FBXO45,ELOF1,CLN8,FBXO7,ENGASE,EFNB1,ENHO,GABARAP,FAM150B,KCNJ1,DARS,CWF19L1,DDIT4L,MIOX,GDF5,FAM219A,ELOF1,FAM189B,FAM193A,GNPTAB,CGN,FLJ00104,MYO10,HELT,CORO7,GTF2A1,KLHL6,CTTNBP2,CH17-132F21.1,FITM2,COL4A3,GFI1B,ID3,ETV3,ATF7IP2,FAM154A,KIAA0391,GAGE12D,DIP2B,GGTLC2,DAZ4,FKBP11,GAA,DUSP12,CDS2,HMGN1,GAB2,COPZ1,ENTPD8,GHRHR,EMP1,CXorf38,CT47A5,CTXN1,GAGE12B,DHX36,DOCK6,CS,FES,FAM26F,EGFR,CCNI,EFS,DPPA3,EDA2R,FBXO9,GNLY,GADL1,COMMD10,CCDC140,CLDN14,CD300A,LRRK1,CPO,DTX3L,CALML6,GEMIN4,FCRL1,DUSP23,INO80B,EREG
9,HMBS,GSX1,KERA,GPR119,FAM118B,GEMIN6,EDC3,GJC1,GPR125,EHMT1,KLK8,CTC-786C10.1,HABP2,FAM131C,FAM126B,CLN8,HAGH,HUG1,GSDMA,HIST1H4H,FAM110B,CSRNP1,GALNT12,G2E3,EPB41L5,FSTL1,GPRIN3,HEBP1,LAMC2,DHX36,DOK1,FAM127A,MOV10,GHRHR,FGF19,FAM217A,GPR156,FH,GTPBP6,CSN3,GTF3C2,NPIPB8,HOXA6,CREB1,HIST1H3I,LCE1D,EPHX1,COPZ2,GATA4,COL4A3BP,HNMT,JPH4,EXOSC6,C9orf72,FMO6P,LAMA4,HEATR5A,FRMPD1,HEBP1,FAM101A,GDAP2,HMGN3,FERD3L,COG2,IL1R1,GLIS3,CORO7,FIP1L1,HIPK4,EPN2,DTNB,DIO3,DDX19A,GPBP1,GCOM1,DPPA4,DKC1,GAS2L3,GLRX5,EPHA4,CHDH,ERH,DSTYK,EEF1E1,FCRL5,GPN3,GMFB,DEFB130,CELA2B,CTB-129P6.11,FAM178A,MBL2,DDAH2,DUSP14,CFB,GEMIN5,FNDC9,EIF4A2,MAB21L1,FGD6
