,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,HTRA4,GUK1,LUZP2,GYS2,GABRA1,GOT2,EHD3,GPAM,GRK4,EIF4E1B,LARP4B,DENND2C,HEY1,FAM20A,FGG,CT45A1,HVCN1,ITGAM,HIPK4,HOXB3,ITPA,GHITM,GOLGA8K,GTF3C2,FAM50A,GNG2,IGFBP5,IQCF3,LDB2,EXOSC1,DONSON,FAM129A,MYH13,KBTBD7,HAPLN4,GPS2,HIST1H2AK,FMNL1,HPGDS,CUEDC1,HCST,NR1I2,HTRA1,CTD-2144E22.5,HORMAD2,MALL,FAM105A,EDEM3,HBD,DKFZP779J2370,KRT26,LRP4,F11,DLC1,FNDC1,NAPRT1,ING5,GDA,INS,HINT2,GPR162,HSD17B7,GOLGA8F,CWF19L2,JMJD6,GPX3,CPN1,FPR3,KRTAP9-1,ERVV-2,ECHDC3,DNAJA3,DEFB106A,GUK1,GPRASP1,EFCAB13,DUSP9,HSPA2,HES5,FAM213A,FAM46D,FHOD3,EDF1,EFCAB11,HIST1H2BD,HID1,GNMT,ENTHD2,DDX26B,DEFA3,FBXO27,MIEN1,DDIT4L,ELP3,DIMT1,GEMIN7,GRHPR,FABP4,METTL12,GFI1
11,IL36RN,HOXA3,LYRM2,HCLS1,GKN1,HTR3D,ENOX2,HAVCR2,HS6ST2,EIF4EBP1,LRPPRC,EFCAB5,HIF3A,FAM47E,GMEB1,CXCL12,IGFL4,KCNE4,KB-1507C5.2,IGF1,KRTAP21-2,GYLTL1B,HELZ,HDAC6,GSTM5,HEPHL1,ITGB3BP,MMADHC,LILRB3,FAM19A5,EYS,FAM72A,OAZ1,MARC2,HEG1,GTPBP4,HLCS,GSDMA,IFI35,EN1,HMGA2,NXPE2,MACROD2,DUSP5,IFNA16,MAP1LC3B2,FBXO10,EXOC4,HEG1,ETV3,LRTM1,LSM12,GAPT,GRAMD4,FOS,NDUFV1,KCNE1,GJC1,KPRP,HIST1H2AE,GPR171,KRTAP9-4,GPR141,DEPDC7,LYRM5,HOXD12,CRY1,GLOD4,KRTAP9-6,FAM131C,FAM115A,FCN2,FAM186B,INPP5B,KPNA4,EIF4EBP1,IFI27,KRTAP9-9,IKBKG,FCHO2,FBXO48,FIS1,EFCAB3,FAM103A1,HSFY1,JPH2,HAAO,FEZ1,DPYSL2,ECSCR,HCK,MT-CYB,DIRC2,FKBP4,HIST1H2AK,KCNK13,GVQW1,HPGDS,MUS81,GORASP1
12,KIAA1107,LLGL2,MASP2,HPCAL1,GMPR2,IFITM1,GAPT,IKZF2,HYAL1,EXOC7,LRRC34,GRIN1,HRH3,GPATCH3,HIST1H2BG,EMP1,INF2,KIAA1731,LIMD1,KCTD15,KRTAP4-2,KRT71,ITGB3BP,HMGN5,IQCE,HIST2H3A,KRTAP5-7,MTRNR2L3,LYZL2,FAM47E,FXYD1,FKSG63,PHF11,MED31,KREMEN1,KCNH7,IL18BP,INTS5,LCP1,FAM127C,HRNR,OR10J3,MYOG,ERCC6L,LELP1,MAP3K5,GMDS,GLP1R,JAK1,GARNL3,MARCH2,NES,GPR108,GTF2F1,HTR1B,NKTR,LETM1,GMPPA,LHPP,HOXA11,ICOSLG,LRRC3,GTPBP1,DNAI2,MT-ATP6,HTR2A,DKK3,H3F3A,KTN1,GPR119,FAT2,GPR22,FAM71F2,KPNA7,LEPREL4,FAM84B,INPP5E,MMP21,KHDC1L,GDPGP1,GNLY,GDF5OS,EIF4G3,FAM187A,HTR5A-AS1,KCNG1,KIAA1737,FGF19,FBXO34,EMC6,HOXA10,NBPF20,EMC10,IFNAR2,HS6ST1,LIG4,GYG2,ITGA10,NFRKB,HAND2
13,MALSU1,MAP3K8,NHS,HSD17B3,HSD17B14,KLK6,GRM6,KRTAP4-4,IBSP,F11R,MFSD11,INTS2,KCNH7,HIST1H2AD,ITFG2,GNA14,KCNE1L,KIF25,LRR1,KLHL2,LPAR6,LMBRD2,OLFM4,INPP5D,MAD2L1BP,KIR2DL4,L3MBTL1,NLE1,MPG,FBXO18,GALE,GLTPD1,PRKAR1B,NDUFB2,LELP1,LEUTX,KIF5C,KANSL3,LRRD1,FAM221A,LRRN1,PDCL3,NDUFAF1,FAM188B,LSM2,NAAA,GRIA1,GRHL3,KIFC3,KIF13B,MAS1,OR10G8,KRTAP10-7,HLA-A,LFNG,NT5DC1,MALSU1,GPR19,MRPL21,MAGEB10,IL20RB,NARS2,IL17D,GALR3,MYO10,IFIT1,ERGIC2,LGALS12,LMNB2,GRIN3B,HSPB2,GREB1L,FBXL12,LOH12CR2,MAP3K5,FLG2,KRT222,MS4A3,KIAA1328,GPX1,KCND2,GUCY2D,F5,GNG3,KLHL35,KRT25,LONRF2,HSD3B7,GRM2,FAM228A,IL36G,OR10R2,EPHB1,LDHA,HTR5A-AS1,LYRM1,IL15RA,KCNQ2,NUDT4,IFNAR1
14,METTL21B,MAPK3,NKX3-1,MCOLN2,KCNK12,MAFK,IQGAP2,MLLT1,IRF2BP1,KRT36,MKNK2,ISL2,MTPAP,KLHL8,LIX1L,HAGHL,KLF5,LIMK1,NAA50,KRT75,MARCH11,PATL1,OR2T5,LENG9,OPHN1,KIR3DL3,LOXHD1,NUAK1,MYL5,GLTSCR1L,HDHD1,HOXB4,PRR7,NRP1,LIAS,LOXL4,KLRC4,KIAA1549L,MRPS7,FOXE3,LTK,PDF,NR0B2,FAM47C,MPV17L2,OR2G6,IL22RA1,HTR4,KRTAP20-2,LAT2,MKRN3,PINX1,LRRC19,JOSD1,LRRC40,POU6F2,MLK4,GPRIN3,MYH9,NDUFS3,LNP1,NAV3,LMAN2L,GPX1,NKX2-3,KLHL14,GNG2,MRPS18A,LPCAT3,LENG8,IDH3G,HRH2,FXYD2,MAP3K7,METTL6,GPR155,LGMN,MYOZ1,LOH12CR1,HHAT,KLHL22,HS3ST2,FBXO24,GPR115,KRT26,KRT72,NCR1,ITSN1,HMGCS1,IGDCC4,KIAA1683,OR6V1,FAM183A,MTRNR2L9,IDS,MIF4GD,ILF2,KIAA1430,OR11H12,MANEA
15,MIA3,MOV10,OR6K3,MEOX1,L1TD1,MMP26,KRT34,MRPL32,KRTAP13-4,LAG3,MTRNR2L5,KCNK9,MTX3,LRFN4,LRRC30,KCNK18,LCN1,MT1M,NPPC,LCA5L,MBTPS1,PDZD3,PARN,MYO1F,OR8B8,MAFA,MAD2L1BP,OR1D2,PRSS58,HNRNPH2,LSM5,LILRB2,PTPN4,OAS3,MANSC1,LRRC9,LRRC10B,NOX1,MT-ATP6,HLA-A,OMD,PPP1R12A,PDE6B,GPR4,MRPL42,POMC,MAGEA2,LRRC29,LRRC27,LINC00632,NPY4R,PLA2G12B,MAGEE1,LCAT,MPG,PPM1E,MTPN,IFRD2,NLRP4,NRL,LPCAT2,NEU3,LY6G5B,KIAA1161,NNAT,LONP2,KCNN3,OR10G4,LRRIQ1,LUC7L3,MDGA1,IKBKB,GRINA,MMAA,NMUR1,GPRASP1,MEX3B,OGFOD3,MLH1,IFFO1,KRTAP9-4,IL12RB1,FOXM1,KMO,LATS2,MAN2B2,PCDHGA1,MDM1,HPSE,KLHDC4,LDB1,PLA2G4B,GAD2,MTRR,JUNB,MPHOSPH6,KLHL30,KRTCAP3,PIRT,MAST4
16,NOMO1,NEK9,OXCT1,MLF2,LPIN2,MRPL1,MARCH3,NADSYN1,MKL1,MATN3,MYBPC2,LMF2,ODF3L1,MYOC,LRRIQ4,KIF12,LTBP1,OGDH,OR10Q1,MCM4,MYADML2,RPS18,PLEKHA8,N4BP2,PCDHA5,MCM4,OBFC1,OR5D14,RNF170,HTR1F,NDUFAF3,NDUFAF4,QRFPR,PALM3,MMP26,PAQR3,MAPK14,OR4D5,NDP,IL17RA,PIFO,PRR15,PLA2G4E,HEY2,MRPS17,PTBP2,MAST4,MYL7,MPPED2,LONRF3,PSMA8,PPP1R1A,MCPH1,LSG1,NNT,PTGER1,NACAD,KDM4B,OR52E4,ODF4,LYPD2,NRG2,METTL7A,MNX1,NOL9,LRRC3B,LEPROT,OR4S2,MSRB3,METTL12,MID1,KBTBD4,GSTT2,MSH2,NSUN7,KLHL41,MYL10,OR7D4,PGBD1,KANSL1L,LRP10,KLHL31,FUT3,NAPRT1,MFI2,MYO9A,PIK3CB,NARS2,ITLN2,LCLAT1,LOX,PLP1,GDI2,NKX2-5,KLRB1,MYBPC3,LY6K,N6AMT2,PRKRIP1,OMP
17,NUTM2F,NSMCE4A,PIGA,MLLT11,LTN1,MT-ATP6,MRAP2,NAGA,OSTN,MRPS14,NRBP1,LRIF1,OR14I1,NTMT1,MAGI2,MACF1,MTRF1L,OR10A2,OR1J4,METRNL,PGAM2,SARNP,RAC3,OR11H6,PHF3,MTRNR2L7,PARD6A,PARP11,RP11-6L6.2,KRTAP29-1,NDUFS1,NLRP7,RP11-204N11.1,PKN2,NPTX2,POFUT1,MYEOV,POLB,PAX4,INTS2,PLK4,PURA,PLEKHG6,KRTAP10-6,NDRG1,RANBP17,MLF2,NAGLU,OR4P4,MT-ATP6,QSOX2,PTPRH,METTL20,MAB21L1,OARD1,RAB7L1,NANOS3,MARK2,PPP2R5A,PEPD,MYOZ3,OR1N2,N4BP3,NPY1R,OSTF1,NAPEPLD,LIPF,PGK2,NUP62CL,MORF4L2,MKLN1,MUTYH,MED6,NDUFB2,PCLO,MLK4,NDFIP2,OR9Q1,PIN4,KCNQ2,LTA4H,MARK4,LPIN3,NREP,MNX1,NCOR1,PNO1,OR2T10,KANSL1L,LRRN3,MAN1B1,PPFIA1,MEGF8,NSUN2,LIAS,POLA2,NR4A1,NMI,PTGR1,OR5I1
18,ODF3B,NTN4,PLXNB2,MOB1A,MAN2A1,PIGT,NOXA1,NKG7,PRAMEF4,NDUFC2,OR3A2,LRRN4,OR8B8,PET100,OR7G3,MRPL47,NKAIN2,PDZRN4,OR52B2,MRPS28,PIK3CD,SMARCA1,RLN2,PAFAH1B2,PNPLA1,NOP58,PPDPF,POU2F2,RPS20,NPIPB9,NUSAP1,OR2T1,RP11-637O19.3,RANBP2,P2RX2,PRELID2,NAB1,PRR9,PCSK7,KRT33A,PLXDC1,RNF217,RP11-625H11.1,MAP2K4,NTAN1,RP11-368I7.4,OR7A5,NFYC,OTUD4,PHF1,RP11-17M16.1,RGPD8,MRPS24,OR2A5,OR51S1,RAD51B,OXCT1,MED28,RBM4B,SCP2,NT5DC4,OXSR1,NAPEPLD,OTP,PMS1,OR2T3,LYZL2,PHF6,OR2T6,NDUFS1,MROH9,ORM1,MEF2C,NKX1-2,PFN2,NPIPA2,NFX1,PCDHA2,PLEKHG4B,LYPD5,MCM4,NUP88,MAS1L,PGBD4,NEGR1,NXPH3,PPHLN1,RHBDF1,KPNA4,NDNF,PCBD1,PRKCH,MYOC,P2RX4,LIN9,PPP4C,PRPF38B,OR8B2,RAB23,PRAMEF9
19,PEG10,PIK3R3,POGLUT1,NANOS1,MYO9B,PLAGL2,NRL,NSUN7,PTGER1,OR10K1,PPP1R26,MTF2,PAM,POU6F2,POLE,NFATC1,PEAR1,PPFIA1,POU5F1,MUT,PLEKHG6,SPACA7,RP11-1035H13.3,PDCD1,PRG2,OR2A7,PRPF38B,PTPRR,RPS26,PCDH1,OR10AG1,PGM2L1,SCRT2,RPS6KA6,PCDH1,RNF121,OR11H12,RFPL4A,PRSS16,NEDD4L,RING1,RRP8,RPL36A,MIPOL1,PBK,RP11-446E24.4,PCYT1A,OR13C5,RP11-343C2.12,PWWP2B,RP11-322L20.1,RP11-343C2.9,MSTN,PLCH1,OXGR1,RPTOR,P2RY2,MRPS10,RPL36A,SECISBP2,NXN,PADI4,NLRP8,PCNT,POMC,OR5K3,MEOX1,PRR22,OR5D18,NPW,NCBP2,PFDN2,MRPS35,PLA2G16,PRELID2,PCDHB1,PHF1,PDPR,PRSS58,MYPOP,METTL2B,OR2A25,MPZL1,PIGF,NLRP14,OR2M4,RFESD,RP11-116D17.1,KRT39,NOD2,PRICKLE2,PSMG1,PCDHGC5,PCM1,LRRC30,PRKD1,RACGAP1,PPP2R3B,RGPD1,PRRX1
20,PLAUR,PLEKHA5,RAMP3,OPN1MW,MYZAP,POLRMT,OR52W1,PHLDB3,PTPRK,OR2C1,PRAMEF2,MTPN,RHBDD2,PRODH2,PSMD6,NOM1,RAD9A,PRRT1,PPP4R1L,OCM,POP1,SRC,RPS20,PRSS42,PTPLAD2,OR2T10,PRSS27,RNF103-CHMP3,RPS5,PIAS2,OTOP1,PMCH,SDAD1,SIT1,PPP3CC,RNF152,OR4K1,SLC5A7,RNF169,PKP2,RPA4,SHISA8,SMC6,NIT1,PCGF5,SARDH,PITHD1,PPL,RP11-849F2.7,PXDN,SLC4A9,RWDD2B,NTM,PPP1R11,PFKM,SEC14L6,POLA2,NME1-NME2,SLC26A5,SERPINA11,RNPEP,PKD1L1,PHF1,PLAGL2,PP13439,PACSIN3,MSRA,PTGIS,OR9G4,POLR3C,OSBPL9,PLXNC1,MYOG,PTPN20A,RBM4B,PPFIA1,PRAMEF8,RAB8B,SHC4,RAD50,PAQR7,RPL36A,MTERFD2,PMS1,PPAP2B,PAM16,RPGR,RPL39,LY6K,OR4F4,REEP3,PTGER1,PNMA3,POMGNT2,MARCH2,RP11-166N6.3,RBMY1E,PVR,RGS16,RP11-156P1.2
21,RCL1,PRODH2,RFX2,PHEX,NT5DC2,RP11-322E11.6,PDZK1IP1,PSMD6,REEP4,PDE6C,TECTA,MX2,RP11-17M16.1,RARA,SLC35G1,NOTO,RBM12B,RP11-1021N1.1,PRDM2,OR2A12,PRDM6,STRAP,RSPH10B,RPS14,RFX2,PDIA5,PRY2,RNF208,SEPT4,PIM1,PDE4B,PTGER1,SFXN2,SLC51A,PPP6R3,SEC14L6,RAB9A,SNX18,RP11-500M8.7,RP11-145E5.5,RYR1,SNRPD3,STARD6,OR11H12,PNMA6D,SEMA4A,PNLDC1,PPP3R2,SLC22A18,RALA,SNX11,SPATA31A5,PDSS1,SNX8,PYCR2,SRSF5,RBM26,PCCA,SMEK2,SLC26A4,SCGN,RALGAPA2,RGS22,PTPN11,RBM11,PIGR,MYO1G,RABGAP1L,PRAMEF4,PSMC6,PCDHGB7,PNPLA8,NEUROD2,RGCC,RPL39,PRLH,RBFOX1,RP1-139D8.6,SLC34A3,RNFT1,PCM1,SLC22A16,PAX3,PTX4,RP11-863K10.7,PSMC3,SLC1A7,SLC17A9,PDZD7,OR56B1,RGS20,SEPT1,PRKD3,RNF25,MRPS14,RPS15,SDIM1,RAET1E,RGS8,SEMA4B
